Time,0,1,2,3,4
0,0,0,0,0,0
1,9.895647618613866,10.807845658745132,10.848411867081285,10.861521478487356,10.861521478487356
2,18.332955187868045,20.242771570296767,20.242771570296767,20.242771570296767,20.242771570296767
3,29.925739068552254,30.484746950792033,31.759003019771693,31.759003019771693,32.05855235858384
4,41.60588741730134,42.27823468031032,42.376218125487895,42.376218125487895,42.376218125487895
5,53.5573002362197,53.5573002362197,53.5573002362197,53.57082078513639,53.57082078513639
6,62.25087691179751,63.283115156000754,65.76023738050118,65.33279433716721,65.65425609399938
7,70.06608145646175,70.06608145646175,76.84904775692274,76.20388911206923,76.20388911206923
8,78.41713004512431,78.41713004512431,86.76817863378687,86.76817863378687,86.76817863378687
9,88.9185046423213,89.123063722619,96.649050497338,96.649050497338,96.649050497338
10,96.05515947568695,96.05515947568695,107.43065076657365,107.43065076657365,107.43065076657365
11,106.1399897443366,106.1399897443366,118.58789917928452,118.58789917928452,119.12487519796386
12,116.86851195850227,117.077902570331,130.06112030131004,130.06112030131004,130.06112030131004
13,126.01055957014643,127.30633897852809,142.8947447825123,141.36854444336063,141.92188532328083
14,137.6065784564989,137.6065784564989,157.80673248119416,153.78583026887384,154.71906602034628
15,145.5850727239947,145.5850727239947,170.8205533443738,163.5697743035583,165.02818511681886
16,157.4650265584871,157.63566382113115,182.91647862514455,175.10246203961844,177.1387610246605
17,171.1353054209857,168.1513125084231,198.14034467724878,189.87599462236574,190.20359624230187
18,184.89877304942019,181.18202236327318,213.4681701804938,201.60377584797965,201.60377584797965
19,197.88938841914236,194.30110522707554,228.89995513487958,213.08127787071268,213.08127787071268
20,207.47990696685287,201.7302991555,242.3642669530026,229.21724040899394,225.52493495971547
21,217.13449279114428,213.36414942699355,256.96132388589217,245.45559549000683,238.7247919925262
22,230.3872015650611,225.07532608132033,272.70498719370033,257.4388104140861,255.31383145706494
23,241.05926015864645,232.65364946235175,288.5526099526493,272.7857412361305,269.7683214100538
24,254.486697868693,243.67191963805976,301.31387572072106,289.33127394533824,286.5357972216431
25,265.29853961118215,251.3496626541625,314.15830904970545,305.97919919727764,302.26871160775016
26,279.8075173671035,264.2287507102265,328.1632100137606,321.6128291389706,315.8254413346621
27,289.84650685088036,272.00591336140053,343.34243987303853,336.2185114313862,332.8605716668274
28,303.6234024331864,279.8327858301102,356.4363758847608,348.6522535434847,348.8432969388053
29,313.7905264701251,293.8355987834353,372.9077553505545,362.06912048272306,362.06912048272306
30,325.8819343861028,307.04608562307027,389.483094267489,374.65303832416123,378.6906180861456
31,340.8568559717035,315.90830998008875,406.16239263556423,389.6136814313798,393.1732384261671
32,355.9249663232401,323.93402171894104,422.94565045478026,406.9783544824406,408.85317677994203
33,369.19110305102845,332.9067123371499,436.45542427106574,419.7875359178883,424.61638542900727
34,384.4455909344368,346.4485979603559,450.0483656482638,432.67180521800594,439.33097302019456
35,398.83403779319696,361.72772072355997,464.8641503312171,450.34365589726156,452.9850437970338
36,411.379740943112,378.11382467992985,480.9166395800777,467.85427622233163,467.85427622233163
37,422.0594031926979,390.46968240392147,498.2196946549977,482.1555848341067,485.10030104043136
38,437.6866461398497,400.821463637843,500,500,500
39,450.4594969067334,415.3912837481664,500,500,500
40,465.28476610581794,424.8073064937671,500,500,500
41,476.2206974617275,437.42828324461556,500,500,500
42,489.2206958455799,453.28735387906886,500,500,500
43,500,468.1664795207252,500,500,500
44,500,479.917977539967,500,500,500
45,500,496.0255972620986,500,500,500
46,500,500,500,500,500
