type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,0.3501009941101074,0,2.524883797218279,3,15,0.0,1,99999820,backer
Trade,0,0.3501009941101074,0,2.524883797218279,53,15,0.0,1,100000945.17872581,layer
Trade,0,1.521488904953003,0,4.9,51,15,9.895647618613866,5,99999830.79211748,backer
Trade,0,1.521488904953003,0,4.9,3,15,9.895647618613866,5,99999820,layer
Trade,0,2.4608209133148193,0,2.524883797218279,3,15,18.332955187868045,5,99999820,backer
Trade,0,2.4608209133148193,0,2.524883797218279,53,15,18.332955187868045,5,100000945.17872581,layer
Trade,0,38.126734018325806,0,2.524883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.126734018325806,0,2.524883797218279,57,15,411.379740943112,4,100000428.38223484,layer
Trade,0,38.242212772369385,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.242212772369385,0,2.624883797218279,56,15,411.379740943112,4,100000376.25556163,layer
Trade,0,38.28992199897766,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.28992199897766,0,2.624883797218279,58,15,411.379740943112,4,100000425.28510453,layer
Trade,0,38.29455494880676,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.29455494880676,0,2.624883797218279,59,15,411.379740943112,4,100000304.95146151,layer
Trade,0,38.3391900062561,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.3391900062561,0,2.624883797218279,55,15,411.379740943112,4,100000361.87402587,layer
Trade,0,38.34029483795166,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.34029483795166,0,2.624883797218279,57,15,411.379740943112,4,100000428.38223484,layer
Trade,0,38.355961084365845,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.355961084365845,0,2.624883797218279,56,15,411.379740943112,4,100000376.25556163,layer
Trade,0,38.35871601104736,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.35871601104736,0,2.624883797218279,58,15,411.379740943112,4,100000425.28510453,layer
Trade,0,38.41037321090698,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.41037321090698,0,2.624883797218279,57,15,411.379740943112,4,100000428.38223484,layer
Trade,0,38.44162106513977,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.44162106513977,0,2.624883797218279,59,15,411.379740943112,4,100000304.95146151,layer
Trade,0,38.45782995223999,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.45782995223999,0,2.624883797218279,55,15,411.379740943112,4,100000361.87402587,layer
Trade,0,38.54686117172241,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.54686117172241,0,2.624883797218279,57,15,411.379740943112,4,100000428.38223484,layer
Trade,0,38.58560514450073,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.58560514450073,0,2.624883797218279,56,15,411.379740943112,4,100000376.25556163,layer
Trade,0,38.618106842041016,0,4.937468035716549,53,15,411.379740943112,4,100000945.17872581,backer
Trade,0,38.618106842041016,0,4.937468035716549,3,15,411.379740943112,4,99999820,layer
Trade,0,38.62686800956726,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.62686800956726,0,2.624883797218279,58,15,411.379740943112,4,100000425.28510453,layer
Trade,0,38.628228187561035,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.628228187561035,0,2.624883797218279,59,15,411.379740943112,4,100000304.95146151,layer
Trade,0,38.634166955947876,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.634166955947876,0,2.624883797218279,55,15,411.379740943112,4,100000361.87402587,layer
Trade,0,38.66493487358093,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.66493487358093,0,2.624883797218279,57,15,411.379740943112,4,100000428.38223484,layer
Trade,0,38.68133091926575,0,2.624883797218279,3,15,411.379740943112,4,99999820,backer
Trade,0,38.68133091926575,0,2.624883797218279,56,15,411.379740943112,4,100000376.25556163,layer
Trade,0,39.41204309463501,0,5.937468035716549,30,15,422.0594031926979,4,99999906.94441794,backer
Trade,0,39.41204309463501,0,5.937468035716549,3,15,422.0594031926979,4,99999820,layer
Trade,0,39.41249203681946,0,2.624883797218279,32,15,422.0594031926979,4,99999945.04695731,backer
Trade,0,39.41249203681946,0,2.624883797218279,58,15,422.0594031926979,4,100000425.28510453,layer
Trade,0,39.41330409049988,0,2.624883797218279,37,15,422.0594031926979,4,99999898.06449465,backer
Trade,0,39.41330409049988,0,2.624883797218279,56,15,422.0594031926979,4,100000376.25556163,layer
Trade,0,39.4137179851532,0,2.624883797218279,38,15,422.0594031926979,4,99999863.8657324,backer
Trade,0,39.4137179851532,0,2.624883797218279,57,15,422.0594031926979,4,100000428.38223484,layer
Trade,0,39.41387104988098,0,2.624883797218279,36,15,422.0594031926979,4,99999871.36952582,backer
Trade,0,39.41387104988098,0,2.624883797218279,59,15,422.0594031926979,4,100000304.95146151,layer
Trade,0,39.414021253585815,0,2.624883797218279,34,15,422.0594031926979,4,99999869.58212157,backer
Trade,0,39.414021253585815,0,2.624883797218279,55,15,422.0594031926979,4,100000361.87402587,layer
Trade,0,39.41624903678894,0,2.424883797218279,31,15,422.0594031926979,4,99999937.83279772,backer
Trade,0,39.41624903678894,0,2.424883797218279,58,15,422.0594031926979,4,100000425.28510453,layer
Trade,0,39.425487995147705,0,2.424883797218279,33,15,422.0594031926979,4,99999896.86586934,backer
Trade,0,39.425487995147705,0,2.424883797218279,3,15,422.0594031926979,4,99999820,layer
Trade,0,39.425724029541016,0,2.424883797218279,39,15,422.0594031926979,4,99999933.49724558,backer
Trade,0,39.425724029541016,0,2.424883797218279,58,15,422.0594031926979,4,100000425.28510453,layer
Trade,0,39.42644000053406,0,2.424883797218279,35,15,422.0594031926979,4,99999908.39261283,backer
Trade,0,39.42644000053406,0,2.424883797218279,56,15,422.0594031926979,4,100000376.25556163,layer
Trade,0,39.42971396446228,0,2.424883797218279,32,15,422.0594031926979,4,99999945.04695731,backer
Trade,0,39.42971396446228,0,2.424883797218279,57,15,422.0594031926979,4,100000428.38223484,layer
Trade,0,39.436192989349365,0,2.424883797218279,38,15,422.0594031926979,4,99999863.8657324,backer
Trade,0,39.436192989349365,0,2.424883797218279,50,15,422.0594031926979,4,99992521.480264,layer
Trade,0,39.436816930770874,0,2.424883797218279,36,15,422.0594031926979,4,99999871.36952582,backer
Trade,0,39.436816930770874,0,2.424883797218279,56,15,422.0594031926979,4,100000376.25556163,layer
Trade,0,39.43847703933716,0,2.424883797218279,30,15,422.0594031926979,4,99999906.94441794,backer
Trade,0,39.43847703933716,0,2.424883797218279,59,15,422.0594031926979,4,100000304.95146151,layer
