id,time,opinion,competitor
54,0.0287020206451416,0.2,0
41,0.028900146484375,0.2,0
59,0.028953075408935547,0.2,0
2,0.029011964797973633,0.2,0
39,0.029072999954223633,0.2,0
57,0.029125213623046875,0.2,0
58,0.029170989990234375,0.2,0
40,0.02921605110168457,0.2,0
7,0.02925586700439453,0.2,0
49,0.02930307388305664,0.2,0
17,0.029349803924560547,0.2,0
4,0.029401063919067383,0.2,0
18,0.029448986053466797,0.2,0
33,0.029489994049072266,0.2,0
16,0.029528141021728516,0.2,0
19,0.029573917388916016,0.2,0
10,0.029615163803100586,0.2,0
23,0.029668807983398438,0.2,0
32,0.02975320816040039,0.2,0
36,0.029796123504638672,0.2,0
55,0.02985692024230957,0.2,0
45,0.029903173446655273,0.2,0
48,0.029946088790893555,0.2,0
8,0.029989957809448242,0.2,0
13,0.03003692626953125,0.2,0
12,0.03008580207824707,0.2,0
20,0.030133962631225586,0.2,0
14,0.03017401695251465,0.2,0
24,0.030215024948120117,0.2,0
34,0.030255794525146484,0.2,0
47,0.030305147171020508,0.2,0
1,0.03034496307373047,0.2,0
22,0.03038787841796875,0.2,0
26,0.03043985366821289,0.2,0
29,0.030560970306396484,0.2,0
25,0.030596017837524414,0.2,0
21,0.030642032623291016,0.2,0
31,0.03068399429321289,0.2,0
35,0.030733108520507812,0.2,0
38,0.030772924423217773,0.2,0
51,0.030817031860351562,0.2,0
6,0.03090691566467285,0.2,0
15,0.030946969985961914,0.2,0
28,0.030984878540039062,0.2,0
27,0.03102898597717285,0.2,0
30,0.031064987182617188,0.2,0
37,0.031119108200073242,0.2,0
53,0.031159162521362305,0.2,0
0,0.03123784065246582,0.2,0
5,0.03130197525024414,0.2,0
9,0.03134799003601074,0.2,0
3,0.03139090538024902,0.2,0
46,0.031434059143066406,0.2,0
50,0.03148484230041504,0.2,0
11,0.03156900405883789,0.2,0
42,0.031616926193237305,0.2,0
44,0.03165602684020996,0.2,0
52,0.03173708915710449,0.2,0
43,0.0318448543548584,0.2,0
56,0.039453983306884766,0.2,0
54,0.0396878719329834,0.2,0
40,0.03984785079956055,0.2,0
41,0.04021000862121582,0.2,0
16,0.047091007232666016,0.2,0
39,0.047181129455566406,0.2,0
32,0.047286033630371094,0.2,0
2,0.047347068786621094,0.2,0
57,0.0474088191986084,0.2,0
7,0.04746294021606445,0.2,0
17,0.047521114349365234,0.2,0
18,0.047554969787597656,0.2,0
33,0.047715187072753906,0.2,0
13,0.0477597713470459,0.2,0
12,0.04781317710876465,0.2,0
47,0.04786109924316406,0.2,0
1,0.04790091514587402,0.2,0
36,0.04795694351196289,0.2,0
55,0.047994136810302734,0.2,0
45,0.04800891876220703,0.2,0
48,0.04802107810974121,0.2,0
10,0.048033952713012695,0.2,0
20,0.048055171966552734,0.2,0
14,0.04810690879821777,0.2,0
29,0.048146963119506836,0.2,0
22,0.04818105697631836,0.2,0
21,0.04821515083312988,0.2,0
35,0.0482480525970459,0.2,0
6,0.048313140869140625,0.2,0
51,0.04836106300354004,0.2,0
15,0.04840707778930664,0.2,0
