Time,0,1,2,3,4
0,0,0,0,0,0
1,8.561710398079752,8.561710398079752,8.860258134755632,8.860258134755632,8.860258134755632
2,17.69371332985908,18.909549071220987,17.78816701159772,17.78816701159772,17.78816701159772
3,27.53335659877031,30.199642678856648,27.53335659877031,27.53335659877031,27.53335659877031
4,36.80367060014986,39.820436154219585,37.35183448986989,37.35183448986989,37.35183448986989
5,45.209193182711545,52.151166290277054,45.721790501046215,45.721790501046215,45.721790501046215
6,54.61781825369131,61.02031916937985,55.68684499999978,55.68684499999978,55.68684499999978
7,61.044646498132934,69.57464904333483,61.044646498132934,67.25940189207765,61.044646498132934
8,69.63688902465492,78.2291315511769,70.37845982749374,78.2291315511769,70.37845982749374
9,78.99646855965374,88.1881117556652,82.84943113626235,91.49738773764786,78.99646855965374
10,87.71319104881593,99.12623999237069,96.3763490688329,104.15281419020323,89.25467627431527
11,97.9967113669671,108.30283535249653,109.99990813991545,115.19488064021138,97.9967113669671
12,106.8379138187695,116.46407108010514,124.51060512134478,124.62530680771376,108.40149568948263
13,118.87956831592514,127.62355790314723,137.53699161416966,137.53699161416966,118.87956831592514
14,127.80764294931473,139.79293700650882,149.66762225474199,149.66762225474199,127.80764294931473
15,136.79773076295024,151.09999622044197,166.88669214861227,156.83120429368566,136.79773076295024
16,147.49566830117374,162.48084162982065,181.06165684800956,169.99914745404206,147.49566830117374
17,156.60978247530107,172.02636796717414,192.27506143493832,184.1360675731424,156.60978247530107
18,167.87212311274027,184.51548725079968,204.59070170044234,197.00460653442522,167.45429662137855
19,183.36558711450144,188.72549157215497,216.98917722752807,208.6389145134479,178.37209907138302
20,195.3527918814255,201.3744809459125,230.5105972485845,214.2194575975829,187.6722527862481
21,207.4091521831497,215.08255339695322,245.16876764054192,226.0018259588592,198.73663184410654
22,219.534668019674,225.92081909716742,257.81574895237287,237.8582245112623,209.874299205892
23,231.7293393909984,235.8352764117486,269.48474747800117,249.78865325479222,220.22287366654962
24,247.6723143689603,249.80160054684868,283.3651202992451,260.86969227139843,231.50711763618904
25,258.77199856579244,260.8427782845381,298.40985524525064,272.0190668490448,242.86464990975546
26,274.8947779342346,274.9812702090111,313.5512313297682,285.1063953441791,254.29547048724888
27,288.1898048982306,288.1898048982306,327.7008187511528,300.1544562771479,265.7995793686693
28,299.43389467339523,299.43389467339523,341.94014437258426,312.45503597631193,275.59583852550173
29,311.7739606235658,311.7739606235658,356.2692081940626,324.82964586660273,287.2465240147761
30,325.2223004479833,325.2223004479833,369.57887159854744,338.67064027240076,298.9704978079775
31,339.79121184588854,339.79121184588854,385.2034533756251,351.19331054494523,310.7677599051059
32,350.33951878039204,350.2590656263112,400.9246762912148,363.7900110086165,322.63831030616126
33,364.4869146681568,362.89427635826394,415.6126929128807,377.4354132522452,333.6633921876834
34,376.34556677609424,374.544190208379,428.11694699279144,390.1801740981701,344.75612481129207
35,389.4661551831055,385.1965094774155,442.98444001455107,403.9850259842258,356.8465401241284
36,403.8625109961507,398.0530787957048,456.7911149885263,418.8613581705856,368.07457423190993
37,414.7220178372547,409.90590468329503,471.8380844103797,432.8256596990683,379.37025908177793
38,428.0708195091064,425.07740334400546,484.6460677827568,445.86654130950046,391.68053930639525
39,443.9365782256258,435.9756765978604,497.52998347825053,459.9902924804101,402.1589434459328
40,456.2101635423639,451.31934304794373,500,473.1792344730959,413.65758052206013
41,467.31863030874825,464.5448433434607,500,488.4826639159566,425.22386834027395
42,483.4540956109881,477.8441298344232,500,500,436.85780690057425
43,498.43135791635416,490.1027797969639,500,500,449.53452864482654
44,500,500,500,500,462.2845386930058
45,500,500,500,500,475.1078370451121
46,500,500,500,500,486.020333446371
47,500,500,500,500,498.99020840633125
48,500,500,500,500,500
