type,time,exchange,competitor,odds,backer,layer,stake
Trade,5.326143980026245,0,1,1.1,2,29,15
Trade,5.452840328216553,0,1,3.7474275320744317,52,2,15
Trade,5.608344078063965,0,1,1.7474275320744317,2,6,15
Trade,5.753664016723633,0,1,2.7474275320744317,3,6,15
Trade,6.3154590129852295,0,1,3.7474275320744317,3,27,15
Trade,6.368670225143433,0,1,4.747427532074432,6,3,15
Trade,6.423213005065918,0,1,2.7474275320744317,2,6,15
Trade,6.448564052581787,0,1,2.7474275320744317,6,2,15
Trade,6.649712085723877,0,1,4.847427532074431,3,57,15
Trade,6.703690052032471,0,1,4.847427532074431,2,58,15
Trade,6.82607102394104,0,1,4.947427532074431,3,58,15
Trade,6.849639177322388,0,1,4.947427532074431,3,57,15
Trade,7.640848159790039,0,1,5.14742753207443,6,28,15
Trade,7.911928176879883,0,1,5.14742753207443,2,26,15
Trade,8.186023235321045,0,1,5.14742753207443,2,22,15
Trade,8.304794073104858,0,1,5.047427532074431,28,58,15
Trade,8.308174133300781,0,1,4.947427532074431,27,57,15
Trade,8.501660108566284,0,1,4.9,29,3,15
Trade,8.517263174057007,0,1,4.9,22,6,15
Trade,8.538572072982788,0,1,4.9,26,6,15
Trade,9.396157264709473,0,1,3.9000000000000004,6,3,15
Trade,9.47979211807251,0,1,3.9000000000000004,3,57,15
Trade,9.66643214225769,0,1,4.9,24,57,15
Trade,9.936910152435303,0,1,4.0,6,58,15
Trade,10.300050258636475,0,1,5.047427532074431,2,58,15
Trade,10.567924976348877,0,1,3.9000000000000004,3,2,15
Trade,11.154301166534424,0,1,3.9000000000000004,2,6,15
Trade,11.320950031280518,0,1,4.9,3,2,15
Trade,11.381000280380249,0,1,4.544176887231566,20,3,15
Trade,12.34404706954956,0,1,3.5441768872315658,2,6,15
Trade,13.323164224624634,0,1,4.0,2,59,15
Trade,13.552760124206543,0,1,4.0,3,58,15
Trade,13.937661170959473,0,1,4.9,6,3,15
Trade,15.159541130065918,0,1,5.9,6,2,15
Trade,15.842396259307861,0,1,5.9,2,3,15
Trade,16.488348245620728,0,1,4.0,6,57,15
Trade,19.225106239318848,0,1,5.9,57,6,15
Trade,19.265228033065796,0,1,4.1,3,57,15
Trade,19.78520131111145,0,1,4.1,2,59,15
Trade,32.88654017448425,0,1,4.800000000000001,59,57,15
Trade,32.98483109474182,0,1,4.800000000000001,58,55,15
Trade,33.14265322685242,0,1,5.9,3,56,15
Trade,33.2415931224823,0,1,5.9,2,58,15
Trade,33.323793172836304,0,1,5.9,6,57,15
Trade,35.915698289871216,0,1,6.0,6,59,15
Trade,36.89781308174133,0,1,6.0,6,55,15
Trade,36.942548990249634,0,1,6.0,2,56,15
Trade,37.153539180755615,0,1,6.0,2,58,15
Trade,37.51674818992615,0,1,3.9000000000000004,3,2,15
Trade,39.19358015060425,0,1,3.9000000000000004,2,3,15
Trade,40.082828998565674,0,1,3.9000000000000004,3,58,15
Trade,40.08383011817932,0,1,3.9000000000000004,2,56,15
Trade,40.165406227111816,0,1,4.1,3,57,15
Trade,40.167516231536865,0,1,4.1,2,57,15
Trade,40.17198824882507,0,1,4.199999999999999,2,58,15
Trade,40.19529318809509,0,1,6.0,6,56,15
Trade,40.19703722000122,0,1,6.0,2,59,15
Trade,40.203341007232666,0,1,6.0,6,55,15
Trade,40.22046422958374,0,1,6.0,6,58,15
Trade,40.32613921165466,0,1,4.1,3,2,15
Trade,40.36321711540222,0,1,4.1,2,3,15
Trade,40.36505603790283,0,1,4.1,3,6,15
Trade,40.41164517402649,0,1,4.199999999999999,2,55,15
Trade,40.415327072143555,0,1,5.800000000000001,6,3,15
Trade,40.43674111366272,0,1,4.1,2,2,15
Trade,40.43828511238098,0,1,5.800000000000001,3,2,15
Trade,40.48764204978943,0,1,4.1,6,6,15
Trade,40.499516248703,0,1,5.800000000000001,3,2,15
Trade,40.500322103500366,0,1,4.199999999999999,3,57,15
Trade,40.53832221031189,0,1,4.1,6,6,15
Trade,40.5468111038208,0,1,4.1,3,3,15
Trade,40.57743310928345,0,1,4.199999999999999,3,59,15
Trade,40.82730221748352,0,1,4.1,6,6,15
Trade,40.8277370929718,0,1,4.1,3,2,15
Trade,40.82801103591919,0,1,4.1,2,3,15
Trade,40.831080198287964,0,1,4.199999999999999,6,58,15
Trade,40.84514093399048,0,1,4.199999999999999,2,55,15
Trade,40.86237812042236,0,1,5.800000000000001,6,3,15
Trade,40.86280417442322,0,1,4.199999999999999,2,59,15
Trade,40.867974281311035,0,1,5.800000000000001,2,3,15
Trade,40.87542915344238,0,1,4.199999999999999,2,57,15
Trade,40.87776827812195,0,1,4.199999999999999,3,55,15
Trade,40.89533805847168,0,1,5.800000000000001,3,6,15
Trade,40.91874408721924,0,1,5.800000000000001,2,3,15
Trade,40.93444609642029,0,1,4.199999999999999,3,56,15
Trade,40.98123216629028,0,1,4.1,2,3,15
Trade,40.98191523551941,0,1,6.1560921249509555,52,2,15
Trade,40.984679222106934,0,1,4.1,6,3,15
Trade,41.00179719924927,0,1,5.800000000000001,6,6,15
Trade,41.0394721031189,0,1,6.0,6,2,15
Trade,41.04291820526123,0,1,6.0,2,6,15
Trade,41.07882118225098,0,1,6.0,6,58,15
Trade,41.07901430130005,0,1,6.0,3,2,15
Trade,41.15589213371277,0,1,6.0,3,3,15
Trade,41.158764123916626,0,1,6.1,3,57,15
Trade,41.16028118133545,0,1,6.0,2,6,15
Trade,41.18573307991028,0,1,6.0,3,2,15
Trade,41.18655323982239,0,1,6.1,2,59,15
Trade,41.18714427947998,0,1,6.1,6,58,15
Trade,41.188727140426636,0,1,7.1560921249509555,3,2,15
Trade,41.19227910041809,0,1,6.0,6,6,15
Trade,41.204874992370605,0,1,6.1,6,57,15
Trade,41.22366714477539,0,1,6.1,2,56,15
Trade,41.22423315048218,0,1,6.1,2,58,15
Trade,41.236004114151,0,1,7.1560921249509555,2,3,15
Trade,41.25330209732056,0,1,6.1,2,59,15
Trade,41.25905728340149,0,1,5.1560921249509555,3,6,15
Trade,41.28114604949951,0,1,7.1560921249509555,3,2,15
Trade,41.28210520744324,0,1,7.1560921249509555,2,6,15
Trade,41.298624992370605,0,1,3.9000000000000004,3,3,15
Trade,41.31363916397095,0,1,5.1560921249509555,2,3,15
Trade,41.331604957580566,0,1,5.1560921249509555,3,6,15
Trade,41.349690198898315,0,1,3.8000000000000007,2,3,15
Trade,41.351771116256714,0,1,5.800000000000001,6,2,15
Trade,41.365952014923096,0,1,7.1560921249509555,2,6,15
Trade,41.375240325927734,0,1,5.9,6,55,15
Trade,41.37572121620178,0,1,5.1560921249509555,2,6,15
Trade,41.391454219818115,0,1,5.9,6,56,15
Trade,41.60776495933533,0,1,6.1560921249509555,3,2,15
Trade,0.3269021511077881,0,2,1.15,50,4,15
Trade,0.344555139541626,0,2,1.2945629537685441,7,53,15
Trade,0.6906371116638184,0,2,2.4,54,7,15
Trade,0.696404218673706,0,2,1.7206265404658545,4,53,15
Trade,0.7553153038024902,0,2,1.7206265404658545,7,53,15
Trade,1.1727771759033203,0,2,2.929909383652357,50,4,15
Trade,1.8617632389068604,0,2,3.9000000000000004,7,4,15
Trade,1.8625483512878418,0,2,3.9000000000000004,4,52,15
Trade,2.892470121383667,0,2,4.9,4,4,15
Trade,3.039797067642212,0,2,4.9,4,7,15
Trade,3.058580160140991,0,2,1.7206265404658545,7,53,15
Trade,3.5206053256988525,0,2,1.1,4,54,15
Trade,3.5407161712646484,0,2,1.1,7,52,15
Trade,4.253704309463501,0,2,4.530002861118864,51,4,15
Trade,4.4348790645599365,0,2,4.647114939846753,51,4,15
Trade,4.694332122802734,0,2,4.647114939846753,51,4,15
Trade,4.866296052932739,0,2,4.647114939846753,51,7,15
Trade,4.959758043289185,0,2,4.647114939846753,51,4,15
Trade,5.262452125549316,0,2,3.6471149398467526,4,7,15
Trade,5.314866304397583,0,2,3.0215683463505996,4,53,15
Trade,5.327203035354614,0,2,2.11976907101245,4,54,15
Trade,5.430555105209351,0,2,4.647114939846753,51,4,15
Trade,5.446313381195068,0,2,5.647114939846753,52,7,15
Trade,5.44926905632019,0,2,2.135593969508785,7,54,15
Trade,5.56009316444397,0,2,5.191372882908601,52,7,15
Trade,5.665482044219971,0,2,5.191372882908601,52,7,15
Trade,5.947838306427002,0,2,4.191372882908601,7,4,15
Trade,5.95546817779541,0,2,5.191372882908601,52,4,15
Trade,6.0101001262664795,0,2,2.525296256164354,7,54,15
Trade,6.338834285736084,0,2,4.191372882908601,52,7,15
Trade,6.393515110015869,0,2,4.191372882908601,52,4,15
Trade,6.424496173858643,0,2,4.038941674014504,52,4,15
Trade,6.463454246520996,0,2,3.949156922412975,52,7,15
Trade,6.978585243225098,0,2,3.949156922412975,52,7,15
Trade,7.43552303314209,0,2,3.049156922412975,7,58,15
Trade,7.511905193328857,0,2,3.949156922412975,52,58,15
Trade,7.571465253829956,0,2,3.049156922412975,4,57,15
Trade,7.774301290512085,0,2,5.038941674014504,53,4,15
Trade,7.872996091842651,0,2,5.118618119885458,54,4,15
Trade,8.59855318069458,0,2,4.2913728829086,4,57,15
Trade,9.512957334518433,0,2,3.038941674014504,7,57,15
Trade,10.374783992767334,0,2,4.3913728829086,4,57,15
Trade,10.55331826210022,0,2,4.3913728829086,7,58,15
Trade,11.454573154449463,0,2,4.038941674014504,7,4,15
Trade,11.878963232040405,0,2,4.038941674014504,4,7,15
Trade,11.933651208877563,0,2,4.279881307237613,52,7,15
Trade,12.235326290130615,0,2,4.279881307237613,52,7,15
Trade,12.75868535041809,0,2,4.038941674014504,7,7,15
Trade,12.764166116714478,0,2,4.279881307237613,52,4,15
Trade,13.82211709022522,0,2,4.038941674014504,4,4,15
Trade,13.869072198867798,0,2,4.038941674014504,7,52,15
Trade,14.088906049728394,0,2,4.4913728829086,4,57,15
Trade,16.740314245224,0,2,3.938941674014504,25,4,15
