type,time,exchange,competitor,odds,backer,layer,stake
Trade,6.280076026916504,0,0,4.264852794451539,50,54,15
Trade,6.314868927001953,0,0,3.6847087718278573,50,53,15
Trade,6.32909369468689,0,0,2.8921855391715203,50,52,15
Trade,7.944688081741333,0,0,2.3595565702156596,50,55,15
Trade,4.209070920944214,0,1,4.89099731939237,53,3,15
Trade,4.333298921585083,0,1,4.686240529245829,3,54,15
Trade,7.930371046066284,0,1,4.686240529245829,4,55,15
Trade,8.050223112106323,0,1,4.686240529245829,4,55,15
Trade,8.160619020462036,0,1,4.996705125018942,52,4,15
Trade,8.230174779891968,0,1,4.391325385388304,4,53,15
Trade,8.274619817733765,0,1,4.391246655664218,6,53,15
Trade,8.61156702041626,0,1,5.593870665028411,51,4,15
Trade,8.662735939025879,0,1,4.590259965199857,4,3,15
Trade,8.839778900146484,0,1,5.598319007607182,51,6,15
Trade,9.675797939300537,0,1,3.8315314624930203,3,6,15
Trade,9.71670913696289,0,1,4.598901020094381,51,3,15
Trade,9.718596935272217,0,1,4.5964947256628985,6,4,15
Trade,10.30124282836914,0,1,4.5964947256628985,3,3,15
Trade,10.546397924423218,0,1,4.5964947256628985,4,6,15
Trade,10.666929721832275,0,1,4.096705125018942,3,56,15
Trade,10.85382080078125,0,1,5.047704380338619,52,3,15
Trade,11.54241681098938,0,1,4.096705125018942,4,55,15
Trade,12.0085768699646,0,1,4.407317558738016,3,53,15
Trade,12.080842018127441,0,1,4.407313420372109,6,53,15
Trade,12.286696910858154,0,1,5.612019755785334,51,3,15
Trade,12.726832866668701,0,1,4.096705125018942,6,4,15
Trade,14.45409083366394,0,1,4.096705125018942,6,6,15
Trade,14.673457860946655,0,1,4.096705125018942,3,56,15
Trade,14.701320886611938,0,1,4.407290634363162,4,53,15
Trade,14.740297794342041,0,1,5.83153146249302,4,3,15
Trade,15.994488000869751,0,1,4.9315314624930195,4,56,15
Trade,17.34800410270691,0,1,4.4073016035785715,3,3,15
Trade,23.70325493812561,0,1,5.019269311931675,53,57,15
Trade,24.095346927642822,0,1,6.612019755785334,4,58,15
Trade,24.147650003433228,0,1,6.612019755785334,6,57,15
Trade,24.66785502433777,0,1,6.712019755785334,3,58,15
Trade,27.004459857940674,0,1,6.712019755785334,6,55,15
Trade,27.784145832061768,0,1,6.712019755785334,6,57,15
Trade,31.786491870880127,0,1,6.712019755785334,6,56,15
Trade,38.44108200073242,0,1,6.712019755785334,3,58,15
Trade,44.011780977249146,0,1,4.9315314624930195,3,4,15
Trade,44.01718187332153,0,1,4.9315314624930195,4,6,15
Trade,44.0885169506073,0,1,5.4073016035785715,54,6,15
Trade,44.09088897705078,0,1,5.4073016035785715,4,3,15
Trade,44.091158866882324,0,1,3.83153146249302,3,51,15
Trade,44.10409379005432,0,1,4.985434431353705,54,6,15
Trade,44.14520192146301,0,1,4.712019755785334,6,58,15
Trade,44.15315771102905,0,1,4.985434431804701,54,55,15
Trade,44.154557943344116,0,1,4.712019755785334,6,56,15
Trade,44.1551730632782,0,1,5.2250106710286195,52,55,15
Trade,44.156115770339966,0,1,5.217048572586131,52,58,15
Trade,44.15672278404236,0,1,5.213635827286562,52,59,15
