Time,0,1,2,3,4
0,0,0,0,0,0
1,4.876029689271923,4.876029689271923,7.1258023969536985,7.1258023969536985,7.1258023969536985
2,14.856507727127081,13.170503644022887,15.140752184937485,17.1778284125683,17.1778284125683
3,23.23243999636827,22.223728477262334,25.85891013442032,25.85891013442032,25.85891013442032
4,32.51071945399833,32.04609568369682,33.14736108825849,33.14736108825849,33.14736108825849
5,40.49002822772483,39.82082313820994,40.49002822772483,40.49002822772483,40.49002822772483
6,48.62659988532877,48.62659988532877,48.62659988532877,48.62659988532877,48.62659988532877
7,55.332589444979156,55.332589444979156,55.332589444979156,55.332589444979156,55.332589444979156
8,64.00115720916591,64.00115720916591,64.33896828060013,64.33896828060013,64.33896828060013
9,72.00449754722312,72.00449754722312,72.65445335077699,72.65445335077699,72.65445335077699
10,81.53053538961058,81.53053538961058,83.4715096605521,84.07507545218768,84.07507545218768
11,90.97624328009944,90.97624328009944,90.97624328009944,90.97624328009944,90.97624328009944
12,98.40787964438606,98.40787964438606,99.47064176284923,103.21071292937701,99.47064176284923
13,106.63983286598736,106.63983286598736,108.02467804978998,114.87178608758866,108.02467804978998
14,118.37034631504261,114.92893930847468,119.14983992209933,123.218045750962,120.5536585459816
15,128.36091934878488,122.51644809335954,129.55187188054632,133.7883336062505,130.1039568782444
16,137.24909754148285,132.44775422930243,137.24909754148285,146.11133762643578,137.24909754148285
17,147.3691784981546,143.21574745403294,147.79417851110645,156.8269883523241,150.03831572868964
18,158.47990749975807,150.95912865951604,158.70250986499914,169.5768354519102,158.70250986499914
19,165.99403422943365,159.5340012064335,165.99403422943365,180.43784904839836,165.99403422943365
20,174.14994415332237,172.08967505051123,174.14994415332237,190.37757180456936,174.14994415332237
21,186.41614946540415,179.9889286765926,182.36007026283923,203.38510762930972,182.36007026283923
22,196.86000022939965,191.45084678749876,191.45084678749876,218.4929138598387,191.45084678749876
23,209.27926035948903,199.76940526827195,199.76940526827195,233.69983113850392,199.76940526827195
24,220.81383347249812,208.1421799346733,208.1421799346733,246.96505568839856,208.1421799346733
25,231.45194612088784,218.40428179405487,218.40428179405487,257.2351486050237,219.09726804231164
26,243.12780060436546,226.56332278779996,232.17511443395435,268.6049322486113,228.42659578373508
27,255.85317037047,234.7743212550778,241.70308260938305,281.0876214255795,239.52264597400665
28,267.67030622441615,247.99505076037474,255.64997557073067,294.6964309423465,253.26606902826902
29,278.56743471866486,260.4674208818897,268.8077159976729,307.33769779633275,263.6386957417196
30,288.5327824056771,269.6709788585534,278.87453683521704,320.058253488828,269.8090425769451
31,300.56184031532604,282.2992214006666,291.3091473482969,332.8580980198322,278.5613305427436
32,312.6615389102093,295.005400153079,305.6081609525408,346.81049250347155,292.65173718502615
33,323.81768325031703,304.38041779240075,315.49925354095626,361.9286517461642,302.3985295557864
34,336.0586632156688,314.6700587308092,328.1649432259368,373.87988687215113,313.09645338300595
35,347.344315478706,323.29671698634905,342.7280473123529,384.81072010968467,324.75635190381035
36,358.69472170320796,335.5843945765375,354.63209388815426,396.9073181062715,335.5843945765375
37,372.18536555935043,344.8798863979716,367.52886274503544,413.5017900588443,344.8798863979716
38,384.7089082656393,357.3765940858826,380.5026579925502,430.19537305955333,361.4919510886372
39,395.20406109190856,368.9743655352705,395.41788272186255,442.5100153620399,375.0597346911197
40,405.7326204587626,384.5211927587735,405.7326204587626,457.14957977942396,389.747096615211
41,416.3455077604223,394.2899172469956,417.9942895625055,468.4768572095025,406.6193989968918
42,429.15161320764827,410.0030083858034,432.2248975732723,483.2882141103227,414.6225085192561
43,439.88223498469847,423.8247035952061,443.6754066024288,497.039524703435,429.53757842298563
44,451.7506729009184,436.72667957667255,455.1919382521283,500,446.6701184956816
45,463.6838647786031,450.6938557119669,469.67013108993154,500,457.43217222674474
46,477.8632553157797,465.73662349579564,484.2308522034136,500,468.248442143436
47,489.9259551163939,481.8653744228654,497.8978849666304,500,479.1189282457555
48,500,489.8524507541538,500,500,491.1361007624979
49,500,500,500,500,500
