type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,6.280076026916504,0,4.264852794451539,50,15,40.49002822772483,1,100001517.78714015,backer
Trade,0,6.280076026916504,0,4.264852794451539,54,15,40.49002822772483,1,99998709.81420708,layer
Trade,0,6.314868927001953,0,3.6847087718278573,50,15,40.49002822772483,1,100001517.78714015,backer
Trade,0,6.314868927001953,0,3.6847087718278573,53,15,40.49002822772483,1,99998014.18370625,layer
Trade,0,6.32909369468689,0,2.8921855391715203,50,15,40.49002822772483,1,100001517.78714015,backer
Trade,0,6.32909369468689,0,2.8921855391715203,52,15,40.49002822772483,1,100003582.46815972,layer
Trade,0,7.944688081741333,0,2.3595565702156596,50,15,55.332589444979156,1,100001517.78714015,backer
Trade,0,7.944688081741333,0,2.3595565702156596,55,15,55.332589444979156,1,100000159.60676183,layer
Trade,1,4.209070920944214,0,4.89099731939237,53,15,22.223728477262334,5,99998014.18370625,backer
Trade,1,4.209070920944214,0,4.89099731939237,3,15,22.223728477262334,5,99999700,layer
Trade,1,4.333298921585083,0,4.686240529245829,3,15,32.04609568369682,5,99999700,backer
Trade,1,4.333298921585083,0,4.686240529245829,54,15,32.04609568369682,5,99998709.81420708,layer
Trade,1,7.930371046066284,0,4.686240529245829,4,15,55.332589444979156,2,99999595,backer
Trade,1,7.930371046066284,0,4.686240529245829,55,15,55.332589444979156,2,100000159.60676183,layer
Trade,1,8.050223112106323,0,4.686240529245829,4,15,55.332589444979156,2,99999595,backer
Trade,1,8.050223112106323,0,4.686240529245829,55,15,55.332589444979156,2,100000159.60676183,layer
Trade,1,8.160619020462036,0,4.996705125018942,52,15,55.332589444979156,2,100003582.46815972,backer
Trade,1,8.160619020462036,0,4.996705125018942,4,15,55.332589444979156,2,99999595,layer
Trade,1,8.230174779891968,0,4.391325385388304,4,15,55.332589444979156,2,99999595,backer
Trade,1,8.230174779891968,0,4.391325385388304,53,15,55.332589444979156,2,99998014.18370625,layer
Trade,1,8.274619817733765,0,4.391246655664218,6,15,55.332589444979156,2,99999595,backer
Trade,1,8.274619817733765,0,4.391246655664218,53,15,55.332589444979156,2,99998014.18370625,layer
Trade,1,8.61156702041626,0,5.593870665028411,51,15,64.00115720916591,5,100000300.2617959,backer
Trade,1,8.61156702041626,0,5.593870665028411,4,15,64.00115720916591,5,99999595,layer
Trade,1,8.662735939025879,0,4.590259965199857,4,15,64.00115720916591,5,99999595,backer
Trade,1,8.662735939025879,0,4.590259965199857,3,15,64.00115720916591,5,99999700,layer
Trade,1,8.839778900146484,0,5.598319007607182,51,15,64.00115720916591,5,100000300.2617959,backer
Trade,1,8.839778900146484,0,5.598319007607182,6,15,64.00115720916591,5,99999595,layer
Trade,1,9.675797939300537,0,3.8315314624930203,3,15,72.00449754722312,5,99999700,backer
Trade,1,9.675797939300537,0,3.8315314624930203,6,15,72.00449754722312,5,99999595,layer
Trade,1,9.71670913696289,0,4.598901020094381,51,15,72.00449754722312,5,100000300.2617959,backer
Trade,1,9.71670913696289,0,4.598901020094381,3,15,72.00449754722312,5,99999700,layer
Trade,1,9.718596935272217,0,4.5964947256628985,6,15,72.00449754722312,5,99999595,backer
Trade,1,9.718596935272217,0,4.5964947256628985,4,15,72.00449754722312,5,99999595,layer
Trade,1,10.30124282836914,0,4.5964947256628985,3,15,72.00449754722312,5,99999700,backer
Trade,1,10.30124282836914,0,4.5964947256628985,3,15,72.00449754722312,5,99999700,layer
Trade,1,10.546397924423218,0,4.5964947256628985,4,15,81.53053538961058,5,99999595,backer
Trade,1,10.546397924423218,0,4.5964947256628985,6,15,81.53053538961058,5,99999595,layer
Trade,1,10.666929721832275,0,4.096705125018942,3,15,81.53053538961058,5,99999700,backer
Trade,1,10.666929721832275,0,4.096705125018942,56,15,81.53053538961058,5,100000198.7970247,layer
Trade,1,10.85382080078125,0,5.047704380338619,52,15,81.53053538961058,5,100003582.46815972,backer
Trade,1,10.85382080078125,0,5.047704380338619,3,15,81.53053538961058,5,99999700,layer
Trade,1,11.54241681098938,0,4.096705125018942,4,15,90.97624328009944,2,99999595,backer
Trade,1,11.54241681098938,0,4.096705125018942,55,15,90.97624328009944,2,100000159.60676183,layer
Trade,1,12.0085768699646,0,4.407317558738016,3,15,90.97624328009944,2,99999700,backer
Trade,1,12.0085768699646,0,4.407317558738016,53,15,90.97624328009944,2,99998014.18370625,layer
Trade,1,12.080842018127441,0,4.407313420372109,6,15,90.97624328009944,2,99999595,backer
Trade,1,12.080842018127441,0,4.407313420372109,53,15,90.97624328009944,2,99998014.18370625,layer
Trade,1,12.286696910858154,0,5.612019755785334,51,15,90.97624328009944,2,100000300.2617959,backer
Trade,1,12.286696910858154,0,5.612019755785334,3,15,90.97624328009944,2,99999700,layer
Trade,1,12.726832866668701,0,4.096705125018942,6,15,98.40787964438606,5,99999595,backer
Trade,1,12.726832866668701,0,4.096705125018942,4,15,98.40787964438606,5,99999595,layer
Trade,1,14.45409083366394,0,4.096705125018942,6,15,106.63983286598736,5,99999595,backer
Trade,1,14.45409083366394,0,4.096705125018942,6,15,106.63983286598736,5,99999595,layer
Trade,1,14.673457860946655,0,4.096705125018942,3,15,114.92893930847468,5,99999700,backer
Trade,1,14.673457860946655,0,4.096705125018942,56,15,114.92893930847468,5,100000198.7970247,layer
Trade,1,14.701320886611938,0,4.407290634363162,4,15,114.92893930847468,5,99999595,backer
Trade,1,14.701320886611938,0,4.407290634363162,53,15,114.92893930847468,5,99998014.18370625,layer
Trade,1,14.740297794342041,0,5.83153146249302,4,15,114.92893930847468,5,99999595,backer
Trade,1,14.740297794342041,0,5.83153146249302,3,15,114.92893930847468,5,99999700,layer
Trade,1,15.994488000869751,0,4.9315314624930195,4,15,122.51644809335954,5,99999595,backer
Trade,1,15.994488000869751,0,4.9315314624930195,56,15,122.51644809335954,5,100000198.7970247,layer
Trade,1,17.34800410270691,0,4.4073016035785715,3,15,132.44775422930243,5,99999700,backer
Trade,1,17.34800410270691,0,4.4073016035785715,3,15,132.44775422930243,5,99999700,layer
Trade,1,23.70325493812561,0,5.019269311931675,53,15,191.45084678749876,3,99998014.18370625,backer
