time,odds,competitor
0.03429675102233887,20.0,0
0.03429675102233887,20.0,1
0.03429675102233887,20.0,2
0.03429675102233887,20.0,3
0.03429675102233887,20.0,4
0.061162710189819336,20.0,0
0.061162710189819336,20.0,1
0.061162710189819336,20.0,2
0.061162710189819336,2.4,3
0.061162710189819336,1.15,4
0.07709383964538574,20.0,0
0.07709383964538574,20.0,1
0.07709383964538574,20.0,2
0.07709383964538574,2.4,3
0.07709383964538574,1.1,4
0.0915379524230957,20.0,0
0.0915379524230957,20.0,1
0.0915379524230957,20.0,2
0.0915379524230957,2.4,3
0.0915379524230957,1.1,4
0.11644768714904785,20.0,0
0.11644768714904785,20.0,1
0.11644768714904785,20.0,2
0.11644768714904785,2.4,3
0.11644768714904785,1.1,4
0.15074801445007324,20.0,0
0.15074801445007324,4.763852602841659,1
0.15074801445007324,20.0,2
0.15074801445007324,4.762966450508733,3
0.15074801445007324,1.1,4
0.17349791526794434,20.0,0
0.17349791526794434,4.763852602841659,1
0.17349791526794434,20.0,2
0.17349791526794434,4.762966450508733,3
0.17349791526794434,1.1,4
0.19132089614868164,20.0,0
0.19132089614868164,4.763852602841659,1
0.19132089614868164,20.0,2
0.19132089614868164,4.762966450508733,3
0.19132089614868164,1.1,4
0.2099149227142334,20.0,0
0.2099149227142334,4.763852602841659,1
0.2099149227142334,20.0,2
0.2099149227142334,4.762966450508733,3
0.2099149227142334,1.1,4
0.24065279960632324,20.0,0
0.24065279960632324,4.763852602841659,1
0.24065279960632324,20.0,2
0.24065279960632324,4.762966450508733,3
0.24065279960632324,1.15,4
0.2601296901702881,20.0,0
0.2601296901702881,4.763852602841659,1
0.2601296901702881,20.0,2
0.2601296901702881,4.762966450508733,3
0.2601296901702881,1.15,4
0.27744293212890625,20.0,0
0.27744293212890625,4.763852602841659,1
0.27744293212890625,20.0,2
0.27744293212890625,4.762966450508733,3
0.27744293212890625,1.15,4
0.2938220500946045,20.0,0
0.2938220500946045,4.763852602841659,1
0.2938220500946045,20.0,2
0.2938220500946045,4.762966450508733,3
0.2938220500946045,1.15,4
0.3287467956542969,20.0,0
0.3287467956542969,4.763852602841659,1
0.3287467956542969,20.0,2
0.3287467956542969,4.762966450508733,3
0.3287467956542969,1.15,4
0.3490598201751709,20.0,0
0.3490598201751709,4.763852602841659,1
0.3490598201751709,20.0,2
0.3490598201751709,4.762966450508733,3
0.3490598201751709,1.15,4
0.39046788215637207,20.0,0
0.39046788215637207,4.763852602841659,1
0.39046788215637207,20.0,2
0.39046788215637207,4.762966450508733,3
0.39046788215637207,1.15,4
0.40849781036376953,20.0,0
0.40849781036376953,4.763852602841659,1
0.40849781036376953,2.4867894504837182,2
0.40849781036376953,3.899911212896612,3
0.40849781036376953,1.15,4
0.4224839210510254,20.0,0
0.4224839210510254,4.763852602841659,1
0.4224839210510254,2.4867894504837182,2
0.4224839210510254,3.899911212896612,3
0.4224839210510254,1.15,4
0.4352269172668457,20.0,0
0.4352269172668457,4.763852602841659,1
0.4352269172668457,2.4867894504837182,2
0.4352269172668457,3.899911212896612,3
0.4352269172668457,1.15,4
0.45206689834594727,20.0,0
0.45206689834594727,4.763852602841659,1
0.45206689834594727,2.4867894504837182,2
0.45206689834594727,3.899911212896612,3
0.45206689834594727,1.15,4
0.47159790992736816,20.0,0
0.47159790992736816,4.763852602841659,1
0.47159790992736816,1.1,2
0.47159790992736816,3.899911212896612,3
0.47159790992736816,1.15,4
0.48668599128723145,20.0,0
0.48668599128723145,4.763852602841659,1
0.48668599128723145,1.1,2
0.48668599128723145,3.899911212896612,3
0.48668599128723145,1.15,4
0.5077698230743408,20.0,0
0.5077698230743408,4.763852602841659,1
0.5077698230743408,1.1,2
0.5077698230743408,3.899911212896612,3
0.5077698230743408,1.15,4
0.524899959564209,20.0,0
0.524899959564209,4.763852602841659,1
0.524899959564209,1.1,2
0.524899959564209,3.899911212896612,3
0.524899959564209,1.15,4
0.5558128356933594,20.0,0
0.5558128356933594,4.763852602841659,1
0.5558128356933594,1.1,2
0.5558128356933594,3.899911212896612,3
0.5558128356933594,1.15,4
0.5823798179626465,20.0,0
0.5823798179626465,4.763852602841659,1
