type,time,exchange,competitor,odds,backer,layer,stake
Trade,1.2675318717956543,0,0,5.43747908685764,52,0,15
Trade,1.7117750644683838,0,0,5.998491422582921,52,7,15
Trade,1.8266010284423828,0,0,4.99304985970997,3,1,15
Trade,1.8332128524780273,0,0,5.99304985970997,52,0,15
Trade,2.1561927795410156,0,0,4.43747908685764,7,3,15
Trade,3.23801589012146,0,0,3.4141228124622525,3,54,15
Trade,3.266021966934204,0,0,3.4145942775014895,1,54,15
Trade,3.4128148555755615,0,0,2.6545991028102534,7,0,15
Trade,3.444912910461426,0,0,3.6434177603375724,53,1,15
Trade,3.6213409900665283,0,0,3.4020579897804124,1,54,15
Trade,4.039698839187622,0,0,2.6545991028102534,7,0,15
Trade,4.058339834213257,0,0,2.6545991028102534,3,54,15
Trade,4.27909779548645,0,0,2.4660101426195715,1,54,15
Trade,4.6114277839660645,0,0,1.6545991028102534,7,1,15
Trade,4.749499797821045,0,0,1.6545991028102534,0,3,15
Trade,4.8489789962768555,0,0,1.6545991028102534,0,3,15
Trade,4.929311037063599,0,0,1.4660101426195715,0,7,15
Trade,5.2978010177612305,0,0,1.4660101426195715,0,1,15
Trade,5.308343887329102,0,0,1.4660101426195715,3,7,15
Trade,5.422673940658569,0,0,1.4660101426195715,7,1,15
Trade,5.499171733856201,0,0,1.1,3,7,15
Trade,5.608529806137085,0,0,1.1,3,7,15
Trade,5.622562885284424,0,0,1.1,35,7,15
Trade,5.713810920715332,0,0,1.1,7,7,15
Trade,5.784367799758911,0,0,1.1,37,0,15
Trade,5.9575889110565186,0,0,1.1,38,3,15
Trade,6.046181917190552,0,0,1.1,34,7,15
Trade,6.122674942016602,0,0,1.1,31,7,15
Trade,6.174004077911377,0,0,1.1,39,0,15
Trade,6.280614852905273,0,0,1.1,33,0,15
Trade,6.294811964035034,0,0,1.1,36,0,15
Trade,6.368330001831055,0,0,1.1,32,3,15
Trade,6.403296709060669,0,0,1.1,7,0,15
Trade,6.923919916152954,0,0,1.1,3,7,15
Trade,6.946552753448486,0,0,1.1,39,1,15
Trade,6.998347759246826,0,0,1.1,0,51,15
Trade,7.040341854095459,0,0,1.1,1,1,15
Trade,7.086680889129639,0,0,1.1,30,3,15
Trade,7.0936598777771,0,0,1.1,38,7,15
Trade,7.148245096206665,0,0,1.1,3,0,15
Trade,7.178078889846802,0,0,1.1,31,7,15
Trade,7.179991722106934,0,0,1.1,37,3,15
Trade,7.182794809341431,0,0,1.1,32,0,15
Trade,7.36009669303894,0,0,1.1,36,1,15
Trade,7.390444755554199,0,0,1.1,0,1,15
Trade,7.759284973144531,0,0,2.1,1,7,15
Trade,7.7607738971710205,0,0,2.1,3,0,15
Trade,7.816068887710571,0,0,2.1,0,1,15
Trade,8.039278745651245,0,0,1.1,0,3,15
Trade,8.059850692749023,0,0,1.1,36,3,15
Trade,8.094181776046753,0,0,1.1,3,0,15
Trade,8.14165997505188,0,0,1.1,37,0,15
Trade,8.241581916809082,0,0,1.1,31,0,15
Trade,8.267591953277588,0,0,1.1,34,0,15
Trade,8.332978963851929,0,0,1.1,39,0,15
Trade,8.476921796798706,0,0,1.1,33,0,15
Trade,8.52346396446228,0,0,1.1,35,54,15
Trade,8.560747861862183,0,0,1.1,30,7,15
Trade,8.602092742919922,0,0,1.1,32,54,15
Trade,8.751368999481201,0,0,1.1,3,0,15
Trade,9.584859848022461,0,0,2.1,0,58,15
Trade,9.686871767044067,0,0,1.1,0,58,15
Trade,9.71654486656189,0,0,1.1,0,58,15
Trade,16.183716773986816,0,0,1.1,3,58,15
Trade,16.979124069213867,0,0,1.1,1,55,15
Trade,18.51934790611267,0,0,1.1,3,57,15
Trade,18.830121994018555,0,0,1.1,1,57,15
Trade,19.482391834259033,0,0,1.1,1,58,15
Trade,19.568469762802124,0,0,1.1,0,55,15
Trade,19.908509016036987,0,0,1.2000000000000002,0,58,15
Trade,20.075711011886597,0,0,1.2000000000000002,3,55,15
Trade,20.42359685897827,0,0,1.1,3,58,15
Trade,20.861470937728882,0,0,1.1,0,55,15
Trade,31.542503833770752,0,0,1.1,1,59,15
Trade,31.870682954788208,0,0,1.1,7,57,15
Trade,32.420026779174805,0,0,1.2000000000000002,7,55,15
Trade,35.04579782485962,0,0,1.2000000000000002,3,59,15
Trade,35.74289083480835,0,0,1.2000000000000002,3,57,15
Trade,36.27262592315674,0,0,1.2000000000000002,1,55,15
Trade,37.805941104888916,0,0,1.2000000000000002,0,58,15
Trade,39.11084604263306,0,0,1.1,31,1,15
Trade,39.1183807849884,0,0,1.1,38,55,15
Trade,39.11949396133423,0,0,1.1,35,1,15
Trade,39.11991000175476,0,0,1.1,30,58,15
Trade,39.12014079093933,0,0,1.1,39,55,15
Trade,39.12096381187439,0,0,1.1,37,58,15
Trade,39.13514590263367,0,0,1.1,36,56,15
Trade,39.135414838790894,0,0,1.1,32,59,15
Trade,39.136560916900635,0,0,1.1,34,57,15
Trade,39.1370267868042,0,0,1.1,33,56,15
Trade,39.208884954452515,0,0,1.2000000000000002,30,59,15
Trade,39.20904874801636,0,0,1.2000000000000002,32,57,15
Trade,39.209242820739746,0,0,1.1,38,7,15
Trade,39.209571838378906,0,0,1.1,33,0,15
