Time,0,1,2,3,4
0,0,0,0,0,0
1,6.921890698178161,6.921890698178161,6.921890698178161,6.921890698178161,12.002136246411865
2,13.896424354193007,13.896424354193007,13.896424354193007,13.896424354193007,20.870958010207854
3,20.92360096804454,21.838365161835036,20.92360096804454,20.92360096804454,27.95077758189607
4,29.261808536821796,35.010971922814136,30.12736641123922,30.12736641123922,37.60001610559905
5,38.6863214466691,48.2609231795229,38.6863214466691,38.6863214466691,47.24527648209897
6,47.14852876008165,61.588218931961315,46.58993748276684,46.58993748276684,59.70856240012878
7,57.99751972373828,72.93060683425738,54.55146077248494,54.55146077248494,71.29826934076267
8,69.70598389380353,86.4125915781551,62.57089131582339,62.57089131582339,82.97311160538757
9,78.35419082416904,96.84284483940694,72.11683598495652,72.11683598495652,94.73308919400348
10,88.6480715909764,109.43054367204421,80.25208103553568,80.25208103553568,106.57820210661039
11,97.4202782659772,121.03471294450219,89.93489739504419,89.93489739504419,118.50845034320831
12,108.66381387165524,131.6434535035917,99.68614959974039,99.68614959974039,131.52511586717964
13,116.75127425314261,145.51216072613772,109.50583764962428,109.50583764962428,143.62563475175958
14,124.89509815491876,157.31266602621713,117.11208679967935,117.11208679967935,156.82676014437808
15,134.73532306139666,167.0211710974516,124.77097890757109,124.77097890757109,170.1201154713202
16,142.99187400375035,175.65735643897852,133.61213382632704,134.0248209864452,183.50570073258586
17,151.3047884663928,186.9617418786932,142.5136430768274,144.11825241707984,196.98351592817514
18,163.02177764249652,198.34347181413753,156.4543197603193,152.71675549662183,209.72520174958186
19,173.97511159668252,208.0396117174386,169.48641230274814,162.94705861763185,223.3874768138183
20,185.8499186295948,216.02636328221803,181.59650863039295,173.24579758382959,237.14198181237833
21,198.65747144529112,224.0666610363488,191.75531593870187,182.0180224242326,250.98871674526197
22,209.83062312860335,233.05982097355107,205.04894391868984,190.848154518256,263.85545354576095
23,219.34682827141594,242.11247667669923,216.37116476876045,199.73619386589974,276.8073256702509
24,231.53727101794536,252.1358432927027,227.76715202429645,210.3086762128482,290.9307504061053
25,242.93024043038378,264.0589846982546,239.23690568529784,218.4939978991068,304.0528931785773
26,252.63244519014933,276.0594705995362,249.7310148366313,229.20335193643066,318.36077778307885
27,265.0596147218916,285.35010936646796,259.2360674045758,239.9811418189422,331.65319120353286
28,277.5656931820381,296.5702708059211,270.9271202819734,250.82736754664145,346.1455356766816
29,290.1506805705889,305.03893807486224,281.6224105391215,260.9024397677679,360.7301100841539
30,300.1008848196251,313.5611515331547,292.3847611648746,271.0406835382983,375.4069144259498
31,313.753890439653,322.13691118079845,307.5459365569758,280.3919809149049,389.0398691423678
32,327.4914413401141,331.7250287774596,322.80099646512383,290.65656778424335,403.9011333528109
33,339.47059136355574,344.2669261488488,332.66817502353484,301.84497273788105,418.8546274975776
34,349.6687951018625,354.9447461902571,347.0079447537594,310.5040810446698,433.9003515766679
35,362.727236060839,364.71135108475596,360.3251277162925,320.0870074357578,447.87384758904994
36,373.98782167859395,376.50267187728963,371.48984055367504,329.72784108046613,461.93247892542297
37,384.3720250338536,389.35394723159743,387.2143230420574,339.42658197879484,476.076245585787
38,393.8685734225603,401.2880578624013,397.3832732591905,348.29626211693034,490.305147570142
39,405.33206771335483,413.2935634123402,412.1589353853469,359.89528214169417,500
40,418.78505331435275,423.35764713656846,427.0217759906897,369.7677448008839,500
41,432.3169478437549,433.4812266267427,443.12179654325956,380.6008756148586,500
42,443.01115056060286,442.64599435725074,454.68887159227154,392.4052031751855,500
43,456.70086294681363,452.88856537931673,467.4864205516501,403.3646770879682,500
44,469.48601131038475,466.28125220373215,480.35773591649405,412.5502149731238,500
45,484.32265085647686,478.71512726848147,492.1259920713207,423.6360319847145,500
46,494.2701074074937,491.22039725236584,500,435.7141029257922,500
47,500,500,500,446.92626303619096,500
48,500,500,500,456.3223727526933,500
49,500,500,500,466.71600069446623,500
50,500,500,500,477.1675358898595,500
51,500,500,500,486.7215744798719,500
52,500,500,500,499.2102604920757,500
53,500,500,500,500,500
