Time,0,1,2,3,4
0,0,0,0,0,0
1,9.564049494802951,9.564049494802951,9.95446044321765,11.842096927706415,11.842096927706415
2,19.201228183272406,19.201228183272406,19.21350855912772,22.484304280284903,22.85723589311405
3,28.911536065408367,28.911536065408367,29.320319033715222,31.41646999131146,32.106495506455175
4,37.93669137163805,37.93669137163805,37.93669137163805,40.41229528621584,41.42573226196439
5,47.486075250811666,48.1958518775954,48.1958518775954,52.18962562863269,52.69278893917716
6,57.73616158988058,57.73616158988058,57.73616158988058,62.15197997902257,62.15197997902257
7,67.34678670125955,67.34678670125955,67.34678670125955,71.68114816103608,71.68114816103608
8,77.10872089176999,77.83447225427167,77.83447225427167,84.16003708247216,84.16003708247216
9,86.77312350470764,86.77312350470764,86.77312350470764,93.47416029676563,95.71177475514361
10,95.77623053764624,95.77623053764624,95.77623053764624,104.77933757058484,107.39869428536495
11,100.8414486331839,100.8414486331839,106.49244113771316,117.20865173778007,118.18867871111942
12,111.20991925831841,111.20991925831841,115.62445973565701,130.0435433825442,130.0435433825442
13,121.32610396772355,124.4992281186106,124.8209341161035,139.61230493234893,141.98238062457068
14,131.51313878090764,134.9237670211389,134.9237670211389,154.00519043719888,154.00519043719888
15,143.48067118403117,145.09691532526807,145.09691532526807,165.10307428849296,165.10307428849296
16,153.80940620477313,157.69626407048688,154.48675705322245,178.30972548847723,178.30972548847723
17,166.80888761042428,170.38203822640244,163.94105456367947,188.13312537379323,191.60734697328002
18,177.70510313306565,177.70510313306565,174.32514906509,199.00889078990645,204.99593874290133
19,190.88170979816414,191.65590252221787,185.6507597906363,213.93496936951394,216.40172201973502
20,204.1468790929863,205.68647921355173,191.12587178786677,228.95653732493815,229.97225435899338
21,217.50061101753215,219.79683320706724,202.60383254478293,237.6436196971576,237.6436196971576
22,228.25444666094776,232.80445356145628,213.26918864256857,248.2224450116925,248.2224450116925
23,239.07913240814233,245.88520310951185,224.89949943085458,259.44833813913374,261.0010079597361
24,249.97466825911582,260.23488900957227,236.60598523482554,273.8635434783814,273.8635434783814
25,260.94105421386826,271.90744016862067,248.38864605448143,287.8889272417324,287.8889272417324
26,271.97829027239965,283.01552633093104,260.2474818898222,302.0052812899019,302.0052812899019
27,283.08637643470996,294.1944625970203,270.34633722530555,313.51127658640553,315.1197345203524
28,297.0600467673215,308.86325770580726,281.43358571765384,328.2443940175664,326.1184226878959
29,310.18479753216775,324.84087781768994,291.6613526181424,338.8317089094162,339.4008210595498
30,323.39220675142275,342.1406191496986,302.88923190867825,350.53946351142946,350.53946351142946
31,336.6822744250865,356.0659881574622,314.18742659830787,361.74808310547724,361.74808310547724
32,350.05500055315906,371.15561291580417,326.5033125277582,374.1545395153147,374.1545395153147
33,364.471484034389,381.6086654196167,338.8953734728935,381.6086654196167,388.9076855572138
34,378.0095270712791,393.611057545647,350.40451435980447,399.057645917599,400.3262365777659
35,389.68441406382095,406.7843535307707,361.9839706458092,412.96361755675804,412.96361755675804
36,404.3665854342219,420.0374268180761,370.304474760034,424.52212286164627,424.52212286164627
37,418.15260383433827,432.25920652510587,381.0478879205436,437.8380327370931,438.47630179811387
38,431.03066091354015,445.6718344167745,391.8557568635558,448.9982838838433,450.1747613873383
39,444.98199622247404,459.1642396106248,402.7280815890707,462.46697676059694,463.1200417918701
40,459.0159899858167,472.73642210665673,413.6648620970882,474.88330410655334,476.1422970527868
41,471.11597760103217,486.3883819048703,425.6662107776556,491.91014895412883,491.6232053732341
42,483.2868153200266,498.9758075802326,436.73190285067835,500,500
43,495.5285031428,500,449.8857139526629,500,500
44,500,500,463.1157000703324,500,500
45,500,500,476.42186120368683,500,500
46,500,500,487.74537640672014,500,500
47,500,500,500,500,500
