type,time,exchange,competitor,odds,backer,layer,stake
Trade,0.19747209548950195,0,0,1.1,4,52,15
Trade,0.35555505752563477,0,0,1.1,8,52,15
Trade,0.6893088817596436,0,0,4.803877159579005,8,51,15
Trade,0.7696590423583984,0,0,4.9,52,4,15
Trade,1.8122339248657227,0,0,4.9,8,8,15
Trade,1.970654010772705,0,0,3.9000000000000004,5,8,15
Trade,2.1164140701293945,0,0,4.9,4,8,15
Trade,2.6554460525512695,0,0,4.8077871581554,4,51,15
Trade,3.142848014831543,0,0,3.9000000000000004,4,5,15
Trade,3.5997440814971924,0,0,3.9000000000000004,4,5,15
Trade,3.9037890434265137,0,0,3.9000000000000004,53,4,15
Trade,4.046570062637329,0,0,2.4393509969929434,51,5,15
Trade,4.133622169494629,0,0,2.4373579219547867,53,4,15
Trade,4.242498159408569,0,0,1.1,4,52,15
Trade,4.665472030639648,0,0,2.4386178381076133,51,4,15
Trade,5.3547821044921875,0,0,4.941127304735101,52,8,15
Trade,5.41530704498291,0,0,3.941127304735101,4,5,15
Trade,6.512535095214844,0,0,4.840468804725139,4,4,15
Trade,6.522540092468262,0,0,4.840468804725139,52,4,15
Trade,6.658031940460205,0,0,3.8404688047251394,8,5,15
Trade,6.675588130950928,0,0,3.8404688047251394,8,5,15
Trade,6.772355079650879,0,0,3.8404688047251394,4,8,15
Trade,6.952583074569702,0,0,2.8404688047251394,5,4,15
Trade,7.9651970863342285,0,0,3.8404688047251394,8,8,15
Trade,8.129340887069702,0,0,4.840468804725139,5,4,15
Trade,8.14248514175415,0,0,4.840468804725139,8,5,15
Trade,9.769975185394287,0,0,5.840468804725139,8,5,15
Trade,10.15571904182434,0,0,5.840468804725139,5,8,15
Trade,10.350187063217163,0,0,4.840468804725139,52,4,15
Trade,10.41228199005127,0,0,4.840468804725139,52,5,15
Trade,10.43814206123352,0,0,4.840468804725139,52,8,15
Trade,10.46795916557312,0,0,4.840468804725139,52,5,15
Trade,10.483647108078003,0,0,4.840468804725139,52,4,15
Trade,10.511343955993652,0,0,4.840468804725139,52,4,15
Trade,10.533878087997437,0,0,4.840468804725139,52,8,15
Trade,10.538416862487793,0,0,5.840468804725139,4,8,15
Trade,10.560830116271973,0,0,3.3490306241623755,52,4,15
Trade,10.590385913848877,0,0,6.840468804725139,52,4,15
Trade,10.670992851257324,0,0,3.3507132681858587,52,4,15
Trade,10.750656127929688,0,0,3.3522587234375116,52,8,15
Trade,10.769925832748413,0,0,3.352745549027122,52,8,15
Trade,10.896321058273315,0,0,3.354562395920303,52,56,15
Trade,11.01607894897461,0,0,3.356188611482225,52,56,15
Trade,11.032732009887695,0,0,4.840468804725139,5,8,15
Trade,11.071079015731812,0,0,3.3565679714157945,52,4,15
Trade,11.172250986099243,0,0,3.3579859118312214,52,56,15
Trade,11.214414119720459,0,0,6.840468804725139,52,8,15
Trade,11.376675844192505,0,0,3.359844365754521,52,8,15
Trade,11.85313892364502,0,0,3.363926949989105,52,51,15
Trade,11.96764612197876,0,0,4.840468804725139,8,51,15
Trade,12.021991968154907,0,0,4.840468804725139,4,51,15
Trade,15.769708156585693,0,0,4.358639129420874,51,8,15
Trade,15.790105819702148,0,0,4.357296258876929,51,4,15
Trade,15.875359058380127,0,0,2.4377353222022253,51,5,15
Trade,16.05815100669861,0,0,2.4374657608832067,51,57,15
Trade,16.088655948638916,0,0,2.4374011521299312,51,56,15
Trade,16.13915181159973,0,0,2.437337645420052,51,8,15
Trade,16.252825260162354,0,0,2.4372138863700568,51,57,15
Trade,16.269747018814087,0,0,2.437153598341819,51,56,15
Trade,16.722131967544556,0,0,2.436558430405004,51,4,15
Trade,17.03271985054016,0,0,2.4365824979521022,51,8,15
Trade,27.00202512741089,0,0,4.901578430078909,51,56,15
Trade,27.37054204940796,0,0,4.901600541330223,51,56,15
Trade,28.006629943847656,0,0,4.9016274729870695,51,56,15
Trade,28.44257688522339,0,0,6.840468804725139,4,57,15
Trade,28.724196910858154,0,0,6.840468804725139,8,59,15
Trade,28.975608110427856,0,0,6.840468804725139,5,57,15
Trade,34.9403600692749,0,0,6.940468804725139,8,59,15
Trade,36.46614599227905,0,0,6.940468804725139,5,57,15
Trade,41.76609015464783,0,0,4.358639129420874,5,55,15
Trade,42.007373094558716,0,0,4.358639129420874,8,55,15
Trade,42.01167607307434,0,0,4.457296258876928,5,56,15
Trade,42.01229691505432,0,0,4.457296258876928,8,58,15
Trade,42.0287401676178,0,0,4.453679269594101,4,56,15
Trade,42.061047077178955,0,0,4.453679269594101,5,58,15
Trade,42.169934034347534,0,0,4.453679269594101,8,57,15
Trade,42.17239809036255,0,0,3.9404688047251395,4,59,15
