type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,3.44916033744812,0,5.148393667549886,0,15,27.297827631043,3,99999925,backer
Trade,0,3.44916033744812,0,5.148393667549886,9,15,27.297827631043,3,99999895,layer
Trade,0,3.638446092605591,0,6.024714086381353,52,15,27.297827631043,3,100000315.456891,backer
Trade,0,3.638446092605591,0,6.024714086381353,0,15,27.297827631043,3,99999925,layer
Trade,0,3.6994733810424805,0,6.009910146469449,52,15,27.297827631043,3,100000315.456891,backer
Trade,0,3.6994733810424805,0,6.009910146469449,0,15,27.297827631043,3,99999925,layer
Trade,0,3.814890146255493,0,4.990206445536782,0,15,27.297827631043,3,99999925,backer
Trade,0,3.814890146255493,0,4.990206445536782,9,15,27.297827631043,3,99999895,layer
Trade,0,4.993171215057373,0,5.990206445536782,0,15,35.87524577582342,3,99999925,backer
Trade,0,4.993171215057373,0,5.990206445536782,0,15,35.87524577582342,3,99999925,layer
Trade,0,5.094558238983154,0,5.990206445536782,9,15,35.87524577582342,3,99999895,backer
Trade,0,5.094558238983154,0,5.990206445536782,9,15,35.87524577582342,3,99999895,layer
Trade,0,5.309852361679077,0,5.09122944236027,9,15,44.51669568062394,3,99999895,backer
Trade,0,5.309852361679077,0,5.09122944236027,50,15,44.51669568062394,3,99999777.67709374,layer
Trade,0,7.516986131668091,0,5.09122944236027,0,15,63.44794036109037,3,99999925,backer
Trade,0,7.516986131668091,0,5.09122944236027,56,15,63.44794036109037,3,100000595.5,layer
Trade,0,7.744235038757324,0,5.09122944236027,9,15,63.44794036109037,3,99999895,backer
Trade,0,7.744235038757324,0,5.09122944236027,56,15,63.44794036109037,3,100000595.5,layer
Trade,0,9.588779211044312,0,5.73989647206966,52,15,86.50883020691408,3,100000315.456891,backer
Trade,0,9.588779211044312,0,5.73989647206966,9,15,86.50883020691408,3,99999895,layer
Trade,0,10.392559289932251,0,4.889855263278397,52,15,86.50883020691408,3,100000315.456891,backer
Trade,0,10.392559289932251,0,4.889855263278397,50,15,86.50883020691408,3,99999777.67709374,layer
Trade,0,10.522055387496948,0,3.3882817932242206,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,10.522055387496948,0,3.3882817932242206,0,15,98.16419356592262,3,99999925,layer
Trade,0,10.541300296783447,0,3.3885715270765364,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,10.541300296783447,0,3.3885715270765364,56,15,98.16419356592262,3,100000595.5,layer
Trade,0,10.70875334739685,0,3.3893999782483335,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,10.70875334739685,0,3.3893999782483335,56,15,98.16419356592262,3,100000595.5,layer
Trade,0,10.85663104057312,0,3.855006021823021,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,10.85663104057312,0,3.855006021823021,56,15,98.16419356592262,3,100000595.5,layer
Trade,0,10.990407228469849,0,3.85697101093263,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,10.990407228469849,0,3.85697101093263,9,15,98.16419356592262,3,99999895,layer
Trade,0,11.121824026107788,0,3.8578539440805626,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,11.121824026107788,0,3.8578539440805626,0,15,98.16419356592262,3,99999925,layer
Trade,0,11.178652286529541,0,3.8586789362877023,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,11.178652286529541,0,3.8586789362877023,9,15,98.16419356592262,3,99999895,layer
Trade,0,11.466900110244751,0,3.861272669783066,52,15,98.16419356592262,3,100000315.456891,backer
Trade,0,11.466900110244751,0,3.861272669783066,9,15,98.16419356592262,3,99999895,layer
Trade,0,12.045632123947144,0,1.1,9,15,107.38741252881329,4,99999895,backer
Trade,0,12.045632123947144,0,1.1,51,15,107.38741252881329,4,100000210,layer
Trade,0,13.043990135192871,0,1.1,0,15,118.36491085448851,4,99999925,backer
Trade,0,13.043990135192871,0,1.1,9,15,118.36491085448851,4,99999895,layer
Trade,0,13.952667236328125,0,1.1,9,15,130.2701110856904,4,99999895,backer
Trade,0,13.952667236328125,0,1.1,0,15,130.2701110856904,4,99999925,layer
Trade,0,15.352771282196045,0,1.1,0,15,141.4022703322472,4,99999925,backer
Trade,0,15.352771282196045,0,1.1,50,15,141.4022703322472,4,99999777.67709374,layer
Trade,0,17.347747087478638,0,5.879420820038899,37,15,164.7489516517691,4,99999856.0,backer
Trade,0,17.347747087478638,0,5.879420820038899,9,15,164.7489516517691,4,99999895,layer
Trade,0,17.351141214370728,0,4.989855263278397,39,15,164.7489516517691,4,99999856.0,backer
Trade,0,17.351141214370728,0,4.989855263278397,58,15,164.7489516517691,4,100000417.0,layer
Trade,0,17.354472398757935,0,4.989855263278397,32,15,164.7489516517691,4,99999856.0,backer
Trade,0,17.354472398757935,0,4.989855263278397,57,15,164.7489516517691,4,100000487.5,layer
Trade,0,17.36587429046631,0,4.989855263278397,31,15,164.7489516517691,4,99999841.0,backer
Trade,0,17.36587429046631,0,4.989855263278397,56,15,164.7489516517691,4,100000595.5,layer
Trade,0,17.373080253601074,0,4.132842953223777,34,15,164.7489516517691,4,99999856.0,backer
Trade,0,17.373080253601074,0,4.132842953223777,50,15,164.7489516517691,4,99999777.67709374,layer
