type,time,exchange,competitor,odds,backer,layer,stake
Trade,3.44916033744812,0,0,5.148393667549886,0,9,15
Trade,3.638446092605591,0,0,6.024714086381353,52,0,15
Trade,3.6994733810424805,0,0,6.009910146469449,52,0,15
Trade,3.814890146255493,0,0,4.990206445536782,0,9,15
Trade,4.993171215057373,0,0,5.990206445536782,0,0,15
Trade,5.094558238983154,0,0,5.990206445536782,9,9,15
Trade,5.309852361679077,0,0,5.09122944236027,9,50,15
Trade,7.516986131668091,0,0,5.09122944236027,0,56,15
Trade,7.744235038757324,0,0,5.09122944236027,9,56,15
Trade,9.588779211044312,0,0,5.73989647206966,52,9,15
Trade,10.392559289932251,0,0,4.889855263278397,52,50,15
Trade,10.522055387496948,0,0,3.3882817932242206,52,0,15
Trade,10.541300296783447,0,0,3.3885715270765364,52,56,15
Trade,10.70875334739685,0,0,3.3893999782483335,52,56,15
Trade,10.85663104057312,0,0,3.855006021823021,52,56,15
Trade,10.990407228469849,0,0,3.85697101093263,52,9,15
Trade,11.121824026107788,0,0,3.8578539440805626,52,0,15
Trade,11.178652286529541,0,0,3.8586789362877023,52,9,15
Trade,11.466900110244751,0,0,3.861272669783066,52,9,15
Trade,12.045632123947144,0,0,1.1,9,51,15
Trade,13.043990135192871,0,0,1.1,0,9,15
Trade,13.952667236328125,0,0,1.1,9,0,15
Trade,15.352771282196045,0,0,1.1,0,50,15
Trade,17.347747087478638,0,0,5.879420820038899,37,9,15
Trade,17.351141214370728,0,0,4.989855263278397,39,58,15
Trade,17.354472398757935,0,0,4.989855263278397,32,57,15
Trade,17.36587429046631,0,0,4.989855263278397,31,56,15
Trade,17.373080253601074,0,0,4.132842953223777,34,50,15
Trade,17.391608238220215,0,0,3.8794208200388987,38,0,15
Trade,17.548022031784058,0,0,1.1,36,0,15
Trade,18.005834102630615,0,0,1.1,30,9,15
Trade,19.80854034423828,0,0,1.1,33,0,15
Trade,20.28192114830017,0,0,1.1,35,0,15
Trade,35.04702115058899,0,0,2.8586789362877023,9,58,15
Trade,35.048012256622314,0,0,2.8586789362877023,0,57,15
Trade,35.153860330581665,0,0,4.958135578422915,36,56,15
Trade,35.15420699119568,0,0,4.958135578422915,31,55,15
Trade,35.1543972492218,0,0,4.958135578422915,34,58,15
Trade,35.154550075531006,0,0,4.958135578422915,39,57,15
Trade,35.15470218658447,0,0,4.958135578422915,33,59,15
Trade,35.15531802177429,0,0,1.1,38,9,15
Trade,35.15546703338623,0,0,1.1,37,0,15
Trade,35.15998721122742,0,0,1.1,35,57,15
Trade,35.161128282547,0,0,1.1,32,0,15
Trade,35.161285161972046,0,0,1.1,30,57,15
Trade,35.16198134422302,0,0,5.879420820038899,0,56,15
Trade,35.162201166152954,0,0,5.879420820038899,9,59,15
Trade,35.579392194747925,0,0,2.1,9,0,15
Trade,35.73693537712097,0,0,2.1,0,9,15
Trade,35.80728816986084,0,0,2.1,9,56,15
Trade,35.808818340301514,0,0,2.1,0,56,15
Trade,35.80931305885315,0,0,2.2,0,59,15
Trade,35.826412200927734,0,0,2.2,9,59,15
Trade,35.93147540092468,0,0,2.389663156625753,9,55,15
Trade,35.93241810798645,0,0,2.389663156625753,0,57,15
Trade,35.934908390045166,0,0,2.2,9,58,15
Trade,35.948710203170776,0,0,2.1,9,56,15
Trade,36.04030418395996,0,0,2.1,9,59,15
Trade,36.047723054885864,0,0,2.1,0,55,15
Trade,36.04859805107117,0,0,2.2,9,56,15
Trade,36.06309914588928,0,0,2.2,9,57,15
Trade,36.10515308380127,0,0,2.2,9,58,15
Trade,36.12367534637451,0,0,2.2,0,59,15
Trade,36.13411021232605,0,0,2.2,0,55,15
Trade,36.180344104766846,0,0,2.1,0,57,15
Trade,36.29324436187744,0,0,2.1,9,57,15
Trade,36.29444217681885,0,0,2.1,0,57,15
Trade,36.29589819908142,0,0,2.1,9,56,15
Trade,36.31334710121155,0,0,2.2,0,58,15
Trade,36.370023250579834,0,0,3.8586789362877023,0,9,15
Trade,36.52641415596008,0,0,2.1,0,0,15
Trade,36.550376415252686,0,0,3.389663156625753,9,0,15
Trade,0.09718918800354004,0,1,3.4548149199415734,53,3,15
Trade,0.2480602264404297,0,1,2.4548149199415734,3,6,15
Trade,0.3625180721282959,0,1,3.4548149199415734,53,4,15
Trade,0.5108842849731445,0,1,3.4548149199415734,53,4,15
Trade,0.6802291870117188,0,1,2.4548149199415734,3,6,15
Trade,0.7392442226409912,0,1,2.4548149199415734,6,3,15
Trade,0.8149392604827881,0,1,3.4548149199415734,53,6,15
Trade,0.832869291305542,0,1,2.4548149199415734,4,6,15
Trade,1.351694107055664,0,1,2.4548149199415734,4,3,15
Trade,1.3631312847137451,0,1,2.4548149199415734,6,4,15
Trade,1.617171287536621,0,1,2.8845156563914522,4,50,15
Trade,1.6414682865142822,0,1,3.4548149199415734,53,4,15
Trade,1.9808733463287354,0,1,3.9000000000000004,4,3,15
Trade,1.9814441204071045,0,1,3.9000000000000004,6,53,15
Trade,2.024341106414795,0,1,3.287845821821005,3,50,15
Trade,2.183924436569214,0,1,4.9,54,4,15
Trade,2.264606237411499,0,1,2.4548149199415734,4,6,15
Trade,2.6455681324005127,0,1,1.1,6,53,15
Trade,5.347730398178101,0,1,5.189186462313499,52,3,15
Trade,5.3817291259765625,0,1,5.1899836560018535,52,4,15
Trade,5.589565277099609,0,1,4.187912210791714,6,50,15
Trade,5.768299102783203,0,1,5.009088089769656,52,3,15
Trade,5.856293201446533,0,1,4.1858228292265105,3,50,15
Trade,5.926616191864014,0,1,4.186552425112979,4,50,15
Trade,5.960682153701782,0,1,5.012927034801548,52,4,15
Trade,6.026823282241821,0,1,5.0137582653865795,52,6,15
Trade,6.147884130477905,0,1,5.015515891764238,52,3,15
Trade,6.366217374801636,0,1,4.215747263992592,18,6,15
Trade,6.432338237762451,0,1,4.188878139981206,3,50,15
Trade,6.544799089431763,0,1,3.915747263992589,3,4,15
Trade,6.6033711433410645,0,1,4.2857095102644225,18,4,15
Trade,6.616465330123901,0,1,4.2857095102644225,18,4,15
Trade,7.239288091659546,0,1,1.7857095102644212,18,3,15
Trade,8.24826717376709,0,1,1.8857095102644221,6,4,15
Trade,8.302931308746338,0,1,1.8857095102644221,19,3,15
Trade,8.31176233291626,0,1,1.8857095102644221,18,6,15
Trade,8.799545288085938,0,1,1.1,3,4,15
Trade,8.851545095443726,0,1,1.4857095102644218,17,6,15
Trade,8.942463159561157,0,1,1.4857095102644218,15,4,15
Trade,9.093884229660034,0,1,1.4857095102644218,10,4,15
Trade,9.907589197158813,0,1,2.4857095102644218,15,3,15
Trade,10.059168100357056,0,1,1.1,12,4,15
Trade,10.257733345031738,0,1,1.1,18,6,15
Trade,11.002785205841064,0,1,1.1,19,6,15
Trade,11.038785219192505,0,1,1.1,17,3,15
Trade,11.276937246322632,0,1,1.1,3,6,15
Trade,11.575262308120728,0,1,1.1,10,4,15
Trade,11.592186212539673,0,1,1.1,38,4,15
Trade,11.65111517906189,0,1,1.1,31,4,15
Trade,11.830180168151855,0,1,1.1,33,6,15
Trade,12.064940214157104,0,1,1.1,37,4,15
Trade,12.509642124176025,0,1,1.1,39,3,15
Trade,13.25623607635498,0,1,1.1,56,6,15
Trade,13.2887122631073,0,1,1.1,36,3,15
Trade,13.48687219619751,0,1,1.1,32,4,15
Trade,14.14312219619751,0,1,1.1,30,4,15
Trade,15.287634372711182,0,1,1.1,35,4,15
Trade,15.32285737991333,0,1,1.1,15,6,15
Trade,15.332411289215088,0,1,1.1,34,52,15
Trade,15.34977412223816,0,1,1.1,12,52,15
Trade,15.390969276428223,0,1,1.1,18,3,15
Trade,15.405985116958618,0,1,1.1,6,52,15
Trade,15.459991216659546,0,1,1.1,10,52,15
Trade,15.504168272018433,0,1,1.1,17,3,15
Trade,15.52155327796936,0,1,1.1,19,52,15
Trade,15.542583227157593,0,1,1.1,14,4,15
Trade,16.05452537536621,0,1,1.1,58,6,15
Trade,16.43116807937622,0,1,1.1,57,3,15
Trade,16.476115226745605,0,1,1.1,56,6,15
Trade,17.987130165100098,0,1,2.1,10,6,15
Trade,18.009066104888916,0,1,2.1,17,4,15
Trade,18.01641321182251,0,1,1.1,19,3,15
Trade,18.145860195159912,0,1,1.1,14,4,15
Trade,18.156317234039307,0,1,1.1,18,6,15
Trade,18.219133377075195,0,1,1.1,12,4,15
Trade,18.398316144943237,0,1,1.1,15,3,15
Trade,19.451165199279785,0,1,1.1,19,6,15
Trade,19.79300618171692,0,1,1.1,10,4,15
Trade,19.97652816772461,0,1,1.1,17,6,15
Trade,20.022740125656128,0,1,1.1,18,4,15
Trade,20.194820165634155,0,1,1.1,14,4,15
Trade,20.265488147735596,0,1,1.1,12,4,15
Trade,20.923392057418823,0,1,1.1,15,3,15
Trade,22.619932174682617,0,1,1.1,56,6,15
Trade,23.18273425102234,0,1,1.1,19,3,15
Trade,24.36108708381653,0,1,1.1,10,4,15
Trade,25.20210313796997,0,1,1.1,58,3,15
Trade,25.419018030166626,0,1,1.1,57,3,15
Trade,25.75964641571045,0,1,1.1,17,4,15
Trade,26.700440168380737,0,1,1.1,18,6,15
Trade,26.831481218338013,0,1,1.1,14,3,15
Trade,27.326210260391235,0,1,1.1,12,3,15
Trade,29.07516622543335,0,1,1.1,15,6,15
Trade,29.446075201034546,0,1,1.1,19,6,15
Trade,30.62583613395691,0,1,1.1,56,4,15
Trade,30.772825241088867,0,1,1.1,17,6,15
Trade,31.644225120544434,0,1,1.1,12,4,15
Trade,31.773563146591187,0,1,1.1,14,6,15
Trade,32.18525218963623,0,1,1.1,19,6,15
Trade,33.62205219268799,0,1,1.1,15,4,15
Trade,34.990641355514526,0,1,1.1,18,55,15
Trade,35.007357358932495,0,1,1.1,10,57,15
Trade,35.00880312919617,0,1,1.1,11,58,15
Trade,35.010117292404175,0,1,1.1,16,6,15
Trade,35.019676208496094,0,1,1.1,17,6,15
Trade,35.02073621749878,0,1,1.1,12,4,15
Trade,35.02280926704407,0,1,1.1,14,59,15
Trade,35.025012254714966,0,1,1.1,19,56,15
Trade,35.025445222854614,0,1,1.1,15,4,15
Trade,35.0339252948761,0,1,1.1,18,4,15
Trade,35.0356171131134,0,1,1.1,10,4,15
Trade,35.036333084106445,0,1,1.1,11,6,15
Trade,35.037926197052,0,1,1.1,16,58,15
Trade,35.046077251434326,0,1,1.1,17,4,15
Trade,35.04663610458374,0,1,1.1,12,57,15
Trade,35.047266244888306,0,1,1.1,14,55,15
Trade,35.04846525192261,0,1,1.1,19,4,15
Trade,35.049267292022705,0,1,1.1,15,4,15
Trade,35.049546003341675,0,1,1.1,31,59,15
Trade,35.05023908615112,0,1,1.1,38,56,15
Trade,35.051016330718994,0,1,1.1,35,6,15
Trade,35.05675911903381,0,1,1.1,34,3,15
Trade,35.05811619758606,0,1,1.1,32,3,15
Trade,35.05872821807861,0,1,1.1,33,6,15
Trade,35.06110119819641,0,1,1.1,36,4,15
Trade,35.106465101242065,0,1,1.1,39,4,15
Trade,35.10777235031128,0,1,1.1,30,3,15
Trade,35.109660387039185,0,1,1.1,37,4,15
