type,time,exchange,competitor,odds,backer,layer,stake
Trade,6.29132604598999,0,0,5.633129731657531,54,4,15
Trade,6.508877992630005,0,0,4.610516848536884,4,2,15
Trade,6.5441858768463135,0,0,5.573977024375364,54,6,15
Trade,6.6142261028289795,0,0,5.5612808719003795,54,4,15
Trade,6.623134136199951,0,0,5.556999053942135,54,6,15
Trade,6.858973979949951,0,0,5.517573944572677,54,3,15
Trade,7.04941201210022,0,0,4.539655665888669,4,6,15
Trade,7.43104100227356,0,0,4.513113565149183,3,4,15
Trade,7.446595907211304,0,0,4.513113565149183,4,2,15
Trade,7.5019800662994385,0,0,5.48618322782773,54,4,15
Trade,8.058550119400024,0,0,3.513113565149183,3,3,15
Trade,8.06184983253479,0,0,3.513113565149183,4,6,15
Trade,8.128201961517334,0,0,2.513113565149183,4,3,15
Trade,8.304044961929321,0,0,1.1,2,53,15
Trade,8.379066944122314,0,0,1.1,4,55,15
Trade,10.754063844680786,0,0,1.2000000000000002,6,55,15
Trade,11.974951028823853,0,0,1.1,3,6,15
Trade,12.098764181137085,0,0,1.1,32,6,15
Trade,12.76167893409729,0,0,1.1,30,52,15
Trade,12.792267084121704,0,0,1.1,36,52,15
Trade,12.862627983093262,0,0,1.1,33,2,15
Trade,12.873778104782104,0,0,1.1,37,52,15
Trade,12.943201065063477,0,0,1.1,31,52,15
Trade,12.969879865646362,0,0,1.1,35,2,15
Trade,12.99599289894104,0,0,1.1,39,52,15
Trade,13.028888940811157,0,0,1.1,34,52,15
Trade,13.05351209640503,0,0,1.1,38,52,15
Trade,13.24758005142212,0,0,1.2000000000000002,2,4,15
Trade,13.854418992996216,0,0,1.2000000000000002,4,58,15
Trade,18.81257200241089,0,0,2.2,3,4,15
Trade,19.08873200416565,0,0,2.2,4,6,15
Trade,20.050338983535767,0,0,2.2,2,6,15
Trade,20.101805925369263,0,0,1.3000000000000003,2,58,15
Trade,20.671279907226562,0,0,2.2,4,2,15
Trade,21.49730110168457,0,0,2.2,2,3,15
Trade,21.628419876098633,0,0,1.3000000000000003,31,55,15
Trade,21.632933855056763,0,0,1.3000000000000003,38,57,15
Trade,21.641999006271362,0,0,1.1,36,52,15
Trade,21.667119026184082,0,0,1.1,35,51,15
Trade,21.67659091949463,0,0,1.1,32,4,15
Trade,21.694818019866943,0,0,1.1,37,2,15
Trade,21.71389389038086,0,0,1.1,34,6,15
Trade,21.741214990615845,0,0,1.1,30,4,15
Trade,21.809340953826904,0,0,1.1,39,3,15
Trade,21.906805992126465,0,0,1.1,33,54,15
Trade,22.368415117263794,0,0,1.1,2,54,15
Trade,23.865181922912598,0,0,2.1,2,57,15
Trade,24.163307189941406,0,0,2.1,2,58,15
Trade,29.164325952529907,0,0,2.1,2,55,15
Trade,38.78797197341919,0,0,1.3000000000000003,6,57,15
Trade,38.8706488609314,0,0,1.3000000000000003,4,59,15
Trade,40.9035370349884,0,0,2.1,3,58,15
Trade,41.0894501209259,0,0,2.1,3,57,15
Trade,41.090818881988525,0,0,2.1,6,57,15
Trade,41.09098505973816,0,0,2.1,2,59,15
Trade,41.09140586853027,0,0,2.1,4,56,15
Trade,41.09710383415222,0,0,2.1,3,55,15
Trade,41.099278926849365,0,0,2.1,4,59,15
Trade,41.101990938186646,0,0,2.2,4,56,15
Trade,41.10261106491089,0,0,2.2,6,55,15
Trade,41.11407017707825,0,0,2.2,3,58,15
Trade,41.18860101699829,0,0,2.1,4,59,15
Trade,41.197471141815186,0,0,2.2,6,59,15
Trade,41.197927951812744,0,0,2.2,2,56,15
Trade,41.19886302947998,0,0,2.2,3,58,15
Trade,41.21373009681702,0,0,2.3000000000000003,4,56,15
Trade,41.218204975128174,0,0,2.3000000000000003,6,57,15
Trade,41.220027923583984,0,0,2.3000000000000003,3,55,15
Trade,41.26612591743469,0,0,2.3000000000000003,6,58,15
Trade,41.30699706077576,0,0,1.1,3,6,15
Trade,41.308502197265625,0,0,1.1,6,2,15
Trade,41.318217039108276,0,0,1.1,31,55,15
Trade,41.31850504875183,0,0,1.1,35,56,15
Trade,41.31954097747803,0,0,1.1,34,59,15
Trade,41.320066928863525,0,0,1.1,33,55,15
Trade,41.32021903991699,0,0,1.1,39,58,15
Trade,41.33769202232361,0,0,1.1,36,56,15
Trade,41.3379909992218,0,0,1.1,37,57,15
Trade,41.33869910240173,0,0,1.1,32,59,15
Trade,41.339017152786255,0,0,1.1,4,58,15
Trade,41.33943295478821,0,0,1.1,38,57,15
