type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,6.29132604598999,0,5.633129731657531,54,15,43.424487602802664,3,100000245.36471038,backer
Trade,0,6.29132604598999,0,5.633129731657531,4,15,43.424487602802664,3,99999835,layer
Trade,0,6.508877992630005,0,4.610516848536884,4,15,52.29135608618806,3,99999835,backer
Trade,0,6.508877992630005,0,4.610516848536884,2,15,52.29135608618806,3,99999895,layer
Trade,0,6.5441858768463135,0,5.573977024375364,54,15,52.29135608618806,3,100000245.36471038,backer
Trade,0,6.5441858768463135,0,5.573977024375364,6,15,52.29135608618806,3,99999895,layer
Trade,0,6.6142261028289795,0,5.5612808719003795,54,15,52.29135608618806,3,100000245.36471038,backer
Trade,0,6.6142261028289795,0,5.5612808719003795,4,15,52.29135608618806,3,99999835,layer
Trade,0,6.623134136199951,0,5.556999053942135,54,15,52.29135608618806,3,100000245.36471038,backer
Trade,0,6.623134136199951,0,5.556999053942135,6,15,52.29135608618806,3,99999895,layer
Trade,0,6.858973979949951,0,5.517573944572677,54,15,52.29135608618806,3,100000245.36471038,backer
Trade,0,6.858973979949951,0,5.517573944572677,3,15,52.29135608618806,3,99999880,layer
Trade,0,7.04941201210022,0,4.539655665888669,4,15,52.29135608618806,3,99999835,backer
Trade,0,7.04941201210022,0,4.539655665888669,6,15,52.29135608618806,3,99999895,layer
Trade,0,7.43104100227356,0,4.513113565149183,3,15,60.47889268973996,3,99999880,backer
Trade,0,7.43104100227356,0,4.513113565149183,4,15,60.47889268973996,3,99999835,layer
Trade,0,7.446595907211304,0,4.513113565149183,4,15,60.47889268973996,3,99999835,backer
Trade,0,7.446595907211304,0,4.513113565149183,2,15,60.47889268973996,3,99999895,layer
Trade,0,7.5019800662994385,0,5.48618322782773,54,15,60.47889268973996,3,100000245.36471038,backer
Trade,0,7.5019800662994385,0,5.48618322782773,4,15,60.47889268973996,3,99999835,layer
Trade,0,8.058550119400024,0,3.513113565149183,3,15,60.47889268973996,3,99999880,backer
Trade,0,8.058550119400024,0,3.513113565149183,3,15,60.47889268973996,3,99999880,layer
Trade,0,8.06184983253479,0,3.513113565149183,4,15,60.47889268973996,3,99999835,backer
Trade,0,8.06184983253479,0,3.513113565149183,6,15,60.47889268973996,3,99999895,layer
Trade,0,8.128201961517334,0,2.513113565149183,4,15,60.47889268973996,3,99999835,backer
Trade,0,8.128201961517334,0,2.513113565149183,3,15,60.47889268973996,3,99999880,layer
Trade,0,8.304044961929321,0,1.1,2,15,60.47889268973996,3,99999895,backer
Trade,0,8.304044961929321,0,1.1,53,15,60.47889268973996,3,100000337.5,layer
Trade,0,8.379066944122314,0,1.1,4,15,60.47889268973996,3,99999835,backer
Trade,0,8.379066944122314,0,1.1,55,15,60.47889268973996,3,100000598.05593745,layer
Trade,0,10.754063844680786,0,1.2000000000000002,6,15,87.65357320118886,4,99999895,backer
Trade,0,10.754063844680786,0,1.2000000000000002,55,15,87.65357320118886,4,100000598.05593745,layer
Trade,0,11.974951028823853,0,1.1,3,15,94.54743567465407,4,99999880,backer
Trade,0,11.974951028823853,0,1.1,6,15,94.54743567465407,4,99999895,layer
Trade,0,12.098764181137085,0,1.1,32,15,94.54743567465407,4,99999661.0,backer
Trade,0,12.098764181137085,0,1.1,6,15,94.54743567465407,4,99999895,layer
Trade,0,12.76167893409729,0,1.1,30,15,104.57564245726026,4,99999696.41375406,backer
Trade,0,12.76167893409729,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,12.792267084121704,0,1.1,36,15,104.57564245726026,4,99999693.36471038,backer
Trade,0,12.792267084121704,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,12.862627983093262,0,1.1,33,15,104.57564245726026,4,99999674.5,backer
Trade,0,12.862627983093262,0,1.1,2,15,104.57564245726026,4,99999895,layer
Trade,0,12.873778104782104,0,1.1,37,15,104.57564245726026,4,99999674.5,backer
Trade,0,12.873778104782104,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,12.943201065063477,0,1.1,31,15,104.57564245726026,4,99999659.5,backer
Trade,0,12.943201065063477,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,12.969879865646362,0,1.1,35,15,104.57564245726026,4,99999644.5,backer
Trade,0,12.969879865646362,0,1.1,2,15,104.57564245726026,4,99999895,layer
Trade,0,12.99599289894104,0,1.1,39,15,104.57564245726026,4,99999629.5,backer
Trade,0,12.99599289894104,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,13.028888940811157,0,1.1,34,15,104.57564245726026,4,99999674.5,backer
Trade,0,13.028888940811157,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,13.05351209640503,0,1.1,38,15,104.57564245726026,4,99999690.50383504,backer
Trade,0,13.05351209640503,0,1.1,52,15,104.57564245726026,4,100000864.660271,layer
Trade,0,13.24758005142212,0,1.2000000000000002,2,15,104.57564245726026,4,99999895,backer
Trade,0,13.24758005142212,0,1.2000000000000002,4,15,104.57564245726026,4,99999835,layer
Trade,0,13.854418992996216,0,1.2000000000000002,4,15,112.34380569929989,4,99999835,backer
Trade,0,13.854418992996216,0,1.2000000000000002,58,15,112.34380569929989,4,100000377.74745508,layer
Trade,0,18.81257200241089,0,2.2,3,15,148.11145790823963,4,99999880,backer
Trade,0,18.81257200241089,0,2.2,4,15,148.11145790823963,4,99999835,layer
Trade,0,19.08873200416565,0,2.2,4,15,158.56209728311782,4,99999835,backer
